from,to,weight
Liuzzi,Di Grassi,1
Kobayashi,Liuzzi,3
Kubica,Yamamoto,1
Kobayashi,Schumacher,9
Di Grassi,Yamamoto,2
Alguersuari,Rosberg,4
Kobayashi,Alguersuari,8
Petrov,Yamamoto,2
Vettel,Kubica,3
Sutil,Hulkenberg,4
Alonso,Yamamoto,2
Kobayashi,Yamamoto,3
Kobayashi,Di Grassi,1
De La Rosa,Yamamoto,1
Alguersuari,Buemi,7
Buemi,Yamamoto,2
Alguersuari,Trulli,9
Petrov,Rosberg,3
Liuzzi,Vettel,1
Vettel,De La Rosa,4
Kobayashi,Rosberg,4
Liuzzi,Hulkenberg,1
Kovalainen,Di Grassi,3
Rosberg,Kobayashi,13
Webber,Schumacher,8
Webber,Vettel,3
Di Grassi,Trulli,1
Webber,Hulkenberg,8
Alguersuari,Klien,1
Webber,Kobayashi,13
Heidfeld,Senna,1
Heidfeld,Di Grassi,1
Kubica,Alguersuari,1
Kubica,Petrov,1
Kubica,Hulkenberg,1
Kobayashi,Sutil,5
Kobayashi,Barrichello,5
Kobayashi,Heidfeld,3
Heidfeld,Kobayashi,5
Petrov,Heidfeld,2
Buemi,Kobayashi,8
Hulkenberg,Kubica,5
Heidfeld,Yamamoto,1
Petrov,Kovalainen,16
Petrov,Hulkenberg,1
Liuzzi,Kobayashi,1
Liuzzi,Barrichello,1
Hulkenberg,Alguersuari,1
Alguersuari,Kobayashi,5
Button,Petrov,7
Massa,Senna,5
Trulli,Di Grassi,1
Petrov,Massa,2
Kubica,Kobayashi,1
Barrichello,D'Ambrosio,2
Barrichello,Maldonado,4
Maldonado,Kovalainen,15
Barrichello,Perez,4
Buemi,Di Resta,10
Alguersuari,D'Ambrosio,5
Glock,D'Ambrosio,3
Maldonado,Perez,6
Buemi,Sutil,3
Di Resta,Sutil,4
Barrichello,Kobayashi,5
Perez,Di Resta,10
Alguersuari,Heidfeld,2
Di Resta,Rosberg,7
Rosberg,Di Resta,12
Kobayashi,Webber,5
Sutil,Karthikeyan,3
Sutil,D'Ambrosio,4
Di Resta,Glock,10
Perez,Rosberg,8
Webber,Perez,12
Massa,Perez,19
Perez,Alguersuari,3
Di Resta,Perez,8
Di Resta,Alguersuari,7
Rosberg,D'Ambrosio,3
Schumacher,Perez,7
Rosberg,Buemi,3
Heidfeld,Petrov,4
Heidfeld,Hamilton,1
Schumacher,Di Resta,9
Maldonado,Trulli,5
Glock,Liuzzi,6
D'Ambrosio,Liuzzi,6
Perez,Barrichello,4
Perez,Webber,2
Kovalainen,Maldonado,3
Trulli,Maldonado,1
Perez,Buemi,3
Webber,D'Ambrosio,1
Maldonado,Karthikeyan,5
Di Resta,Kovalainen,15
Maldonado,D'Ambrosio,5
Vettel,Heidfeld,1
Maldonado,Glock,9
Hamilton,Perez,22
Di Resta,Barrichello,3
Kobayashi,Kovalainen,9
Buemi,Karthikeyan,1
Perez,Trulli,6
Perez,Kovalainen,12
Buemi,D'Ambrosio,3
Glock,Karthikeyan,4
Button,Di Resta,6
Hamilton,Di Resta,9
Schumacher,Petrov,16
Webber,Petrov,12
Alonso,Perez,16
Buemi,Maldonado,7
Perez,Heidfeld,2
Perez,Petrov,7
Petrov,Di Resta,6
Kobayashi,Di Resta,9
Liuzzi,Karthikeyan,4
D'Ambrosio,Karthikeyan,2
Kobayashi,Maldonado,8
Schumacher,Liuzzi,2
Schumacher,D'Ambrosio,4
Hamilton,Maldonado,8
Massa,Maldonado,23
Alguersuari,Maldonado,6
Perez,Liuzzi,6
Perez,Karthikeyan,4
Di Resta,Trulli,4
Perez,D'Ambrosio,6
Trulli,D'Ambrosio,4
Alguersuari,Perez,5
Kovalainen,D'Ambrosio,8
Schumacher,Maldonado,4
Heidfeld,Di Resta,1
Di Resta,Maldonado,14
Schumacher,Kobayashi,9
Kobayashi,Massa,5
Massa,Kobayashi,11
Perez,Maldonado,23
Alguersuari,Barrichello,4
Perez,Sutil,6
Sutil,Perez,7
Petrov,Buemi,3
Liuzzi,Perez,1
Maldonado,Barrichello,6
Maldonado,Sutil,7
Kobayashi,Karthikeyan,6
Kobayashi,Glock,9
Kobayashi,D'Ambrosio,3
Karthikeyan,Sutil,1
Maldonado,Heidfeld,1
Di Resta,Heidfeld,2
Massa,Di Resta,10
Buemi,Perez,3
Heidfeld,Maldonado,4
Di Resta,Buemi,7
Kobayashi,Petrov,5
Perez,Massa,14
Heidfeld,Perez,3
Maldonado,Rosberg,3
Di Resta,D'Ambrosio,5
Maldonado,Petrov,9
Di Resta,Petrov,11
Alguersuari,Karthikeyan,1
Webber,Di Resta,11
Petrov,Maldonado,3
Webber,Maldonado,8
Trulli,De La Rosa,1
Button,Maldonado,19
De la Rosa,Trulli,1
Liuzzi,D'Ambrosio,2
De la Rosa,Buemi,1
Sutil,Maldonado,7
Buemi,Liuzzi,2
Petrov,Button,1
Button,D'Ambrosio,3
Maldonado,Alguersuari,4
De la Rosa,Glock,1
De la Rosa,D'Ambrosio,1
Di Resta,Karthikeyan,4
Di Resta,Liuzzi,2
Rosberg,Maldonado,10
Button,Alguersuari,1
Karthikeyan,Liuzzi,1
Buemi,De La Rosa,1
Di Resta,De La Rosa,5
Karthikeyan,D'Ambrosio,1
Karthikeyan,Glock,1
D'Ambrosio,Glock,1
Maldonado,Liuzzi,3
Petrov,Perez,4
Kobayashi,Perez,9
Di Resta,Kobayashi,5
Maldonado,Kobayashi,7
Heidfeld,Ricciardo,2
Heidfeld,Chandhok,1
Di Resta,Ricciardo,6
Di Resta,Chandhok,1
Heidfeld,D'Ambrosio,1
Perez,Ricciardo,19
Ricciardo,D'Ambrosio,4
Perez,Glock,7
Buemi,Ricciardo,1
Vettel,Kobayashi,8
D'Ambrosio,Ricciardo,2
Alguersuari,Webber,1
Maldonado,Buemi,1
Vettel,Alonso,20
Ricciardo,Liuzzi,2
Maldonado,Ricciardo,10
Senna,Glock,10
Webber,Ricciardo,13
Schumacher,Ricciardo,7
Button,Ricciardo,9
Kovalainen,Liuzzi,1
Button,Perez,15
Senna,Liuzzi,3
Senna,D'Ambrosio,3
Perez,Senna,6
Senna,Kovalainen,10
Maldonado,Di Resta,4
Senna,Sutil,1
Alguersuari,Di Resta,3
Senna,Buemi,2
Senna,Maldonado,3
Massa,D'Ambrosio,1
Alonso,Di Resta,6
Rosberg,Perez,15
Senna,Petrov,4
Petrov,D'Ambrosio,2
Trulli,Perez,1
Maldonado,Senna,8
Di Resta,Senna,2
Perez,Kobayashi,9
Sutil,Di Resta,4
Senna,Barrichello,1
Trulli,Ricciardo,2
Petrov,Alonso,1
Senna,Kobayashi,4
Kobayashi,Senna,5
Kobayashi,Ricciardo,8
Senna,Trulli,2
Ricciardo,Karthikeyan,5
Buemi,Senna,1
Petrov,Karthikeyan,6
Petrov,Ricciardo,2
Barrichello,Ricciardo,1
Kovalainen,Kobayashi,1
Senna,Ricciardo,6
Liuzzi,Ricciardo,1
Alguersuari,Ricciardo,1
Maldonado,Grosjean,9
Alonso,Maldonado,12
Petrov,Pic,9
Vergne,Glock,7
Maldonado,Massa,2
Raikkonen,Perez,29
Senna,Pic,6
Kovalainen,Ricciardo,2
Kovalainen,Pic,9
Ricciardo,Pic,5
Vettel,Vergne,9
Alonso,Vergne,10
Rosberg,Vergne,9
Webber,Vergne,5
Vettel,Perez,25
Raikkonen,Kobayashi,6
Di Resta,Massa,3
Vergne,Massa,2
Kobayashi,Raikkonen,4
Ricciardo,Senna,8
Vergne,Di Resta,5
Ricciardo,Di Resta,7
Di Resta,Vergne,6
Ricciardo,Vergne,15
Grosjean,Glock,5
Grosjean,Pic,9
Perez,De La Rosa,3
Grosjean,Kovalainen,7
Grosjean,Ricciardo,11
Ricciardo,Kovalainen,7
Grosjean,Petrov,4
Schumacher,Vergne,3
Button,Vergne,8
Perez,Vergne,13
Rosberg,Karthikeyan,3
Hulkenberg,Di Resta,5
Kobayashi,De La Rosa,8
Massa,Vergne,9
Hulkenberg,Karthikeyan,2
Maldonado,Hulkenberg,3
Kovalainen,Karthikeyan,7
Pic,Karthikeyan,5
Alonso,Pic,2
Hamilton,Karthikeyan,2
Senna,De La Rosa,5
Ricciardo,De La Rosa,3
Kovalainen,De La Rosa,14
Glock,De La Rosa,4
Petrov,De La Rosa,8
Button,Pic,4
Ricciardo,Kobayashi,3
Senna,Schumacher,2
Senna,Hulkenberg,2
Ricciardo,Glock,6
Ricciardo,Massa,14
Maldonado,Schumacher,2
Ricciardo,Rosberg,8
Senna,Di Resta,3
Vergne,De La Rosa,5
Vergne,Karthikeyan,6
Vergne,Pic,12
Vergne,Petrov,7
Kobayashi,Vergne,3
Hamilton,Ricciardo,23
Raikkonen,Ricciardo,18
Vettel,Ricciardo,24
Hulkenberg,De La Rosa,2
Vergne,Kovalainen,9
Perez,Grosjean,33
Grosjean,Perez,14
Hulkenberg,Pic,5
Ricciardo,Petrov,5
Grosjean,Kobayashi,9
Button,Senna,5
Webber,Senna,4
Perez,Alonso,24
Webber,Grosjean,4
Senna,Grosjean,3
Grosjean,Maldonado,11
Vergne,Ricciardo,12
Senna,Raikkonen,1
Grosjean,Senna,2
Grosjean,Raikkonen,8
Maldonado,Raikkonen,4
Perez,Raikkonen,21
Di Resta,Raikkonen,3
Maldonado,Alonso,4
Ricciardo,Maldonado,12
Grosjean,Webber,2
Grosjean,Hamilton,6
Maldonado,Vergne,7
Rosberg,Pic,4
Massa,Pic,6
Perez,Pic,5
Hulkenberg,Ricciardo,13
Maldonado,Pic,7
Schumacher,Pic,3
Vettel,Di Resta,4
Grosjean,Di Resta,3
Raikkonen,Grosjean,32
Hamilton,Vergne,7
Schumacher,Hulkenberg,5
Di Resta,Hulkenberg,3
Hulkenberg,Vergne,8
Hulkenberg,Kobayashi,3
Button,Hulkenberg,5
Webber,De La Rosa,3
Webber,Pic,8
Hamilton,Hulkenberg,21
Grosjean,Rosberg,9
Kovalainen,Perez,1
Di Resta,Webber,2
Vergne,Webber,1
Hulkenberg,Webber,3
Vergne,Perez,2
Raikkonen,Pic,3
Hulkenberg,Raikkonen,12
Vergne,Senna,4
Pic,Glock,2
Hulkenberg,Button,11
Hulkenberg,Maldonado,11
Grosjean,Alonso,8
Senna,Perez,2
Raikkonen,Maldonado,10
Raikkonen,Senna,1
Raikkonen,Di Resta,7
Ricciardo,Perez,33
Hulkenberg,Rosberg,8
Maldonado,Webber,1
Perez,Button,18
Pic,De La Rosa,6
Kobayashi,Grosjean,1
Grosjean,Karthikeyan,3
Grosjean,De La Rosa,2
Kobayashi,Hulkenberg,2
Maldonado,De La Rosa,2
Grosjean,Button,14
Kovalainen,Petrov,4
Rosberg,Ricciardo,12
Raikkonen,Petrov,2
Raikkonen,Hulkenberg,21
Hamilton,De La Rosa,1
Senna,Karthikeyan,4
Perez,Hulkenberg,12
Hulkenberg,Perez,16
Vergne,Maldonado,6
Massa,Ricciardo,15
Kobayashi,Pic,7
De La Rosa,Pic,1
Senna,Massa,1
Hulkenberg,Schumacher,4
Vergne,Rosberg,4
Glock,Pic,2
Senna,Rosberg,3
Hulkenberg,D'ambrosio,1
Schumacher,D'ambrosio,1
Raikkonen,D'ambrosio,1
Alonso,Ricciardo,8
Rosberg,D'ambrosio,1
Webber,D'ambrosio,1
Di Resta,D'ambrosio,1
Kobayashi,D'ambrosio,1
Maldonado,D'ambrosio,1
D'ambrosio,Petrov,1
D'ambrosio,Kovalainen,1
Karthikeyan,Pic,1
Perez,Hamilton,3
Raikkonen,Vergne,8
Vergne,Grosjean,6
De La Rosa,Karthikeyan,2
Ricciardo,Schumacher,3
Vergne,Schumacher,1
Grosjean,Hulkenberg,12
Di Resta,Schumacher,3
Hulkenberg,Hamilton,4
Hulkenberg,Grosjean,18
Perez,Schumacher,2
Vettel,Karthikeyan,3
Senna,Vettel,1
Vettel,Pic,5
Rosberg,De La Rosa,3
Di Resta,Pic,1
Grosjean,Vettel,4
Di Resta,Grosjean,3
Grosjean,Schumacher,1
Pic,Kovalainen,2
Maldonado,Button,12
Ricciardo,Grosjean,24
Massa,Hulkenberg,11
Senna,Button,1
Di Resta,Alonso,1
Ricciardo,Raikkonen,19
Hulkenberg,Massa,6
Glock,Petrov,3
Raikkonen,Karthikeyan,1
Kobayashi,Vettel,1
Gutierrez,Maldonado,7
Bianchi,Maldonado,1
Van Der Garde,Chilton,5
Pic,Ricciardo,1
Vergne,Bottas,10
Gutierrez,Bottas,7
Maldonado,Bianchi,9
Maldonado,Bottas,5
Ricciardo,Van Der Garde,3
Ricciardo,Chilton,4
Vettel,Maldonado,6
Ricciardo,Bianchi,4
Vergne,Gutierrez,8
Pic,Van Der Garde,7
Perez,Gutierrez,17
Webber,Bottas,6
Webber,Gutierrez,5
Ricciardo,Bottas,23
Button,Bottas,7
Grosjean,Bottas,5
Ricciardo,Gutierrez,6
Button,Gutierrez,16
Perez,Bianchi,5
Grosjean,Gutierrez,13
Bottas,Gutierrez,13
Bianchi,Pic,2
Chilton,Van Der Garde,4
Grosjean,Vergne,1
Bottas,Chilton,5
Hulkenberg,Sutil,6
Perez,Vettel,5
Sutil,Bianchi,8
Sutil,Van Der Garde,4
Di Resta,Van Der Garde,2
Di Resta,Bianchi,4
Di Resta,Bottas,4
Bottas,Van Der Garde,9
Bottas,Bianchi,4
Vergne,Chilton,12
Bianchi,Van Der Garde,5
Maldonado,Van Der Garde,4
Vergne,Bianchi,11
Pic,Chilton,11
Gutierrez,Ricciardo,2
Bottas,Ricciardo,19
Massa,Grosjean,14
Vergne,Van Der Garde,9
Hulkenberg,Vettel,4
Hamilton,Van Der Garde,2
Hamilton,Chilton,5
Webber,Chilton,3
Rosberg,Chilton,2
Alonso,Bottas,8
Hamilton,Bottas,18
Raikkonen,Bottas,15
Massa,Bottas,11
Rosberg,Bottas,10
Ricciardo,Hulkenberg,34
Bottas,Maldonado,9
Chilton,Pic,2
Pic,Bianchi,5
Alonso,Bianchi,2
Alonso,Gutierrez,10
Grosjean,Chilton,8
Vettel,Bottas,18
Pic,Gutierrez,1
Perez,Bottas,8
Sutil,Gutierrez,13
Gutierrez,Chilton,7
Sutil,Ricciardo,2
Sutil,Bottas,8
Sutil,Massa,2
Bottas,Massa,9
Van Der Garde,Bottas,3
Hulkenberg,Chilton,4
Maldonado,Chilton,9
Di Resta,Hamilton,3
Button,Chilton,7
Ricciardo,Hamilton,7
Gutierrez,Vergne,7
Gutierrez,Hamilton,2
Sutil,Chilton,8
Maldonado,Hamilton,1
Sutil,Pic,4
Di Resta,Button,4
Hulkenberg,Bianchi,5
Hulkenberg,Bottas,14
Di Resta,Chilton,4
Di Resta,Gutierrez,3
Sutil,Alonso,1
Gutierrez,Van Der Garde,5
Raikkonen,Van Der Garde,2
Raikkonen,Chilton,4
Raikkonen,Gutierrez,14
Grosjean,Van Der Garde,1
Massa,Gutierrez,16
Vergne,Raikkonen,4
Gutierrez,Bianchi,6
Bottas,Button,8
Bianchi,Chilton,4
Hulkenberg,Gutierrez,9
Massa,Van Der Garde,3
Massa,Bianchi,3
Massa,Chilton,4
Hamilton,Gutierrez,7
Bottas,Vergne,6
Grosjean,Massa,9
Bottas,Pic,4
Gutierrez,Pic,3
Rosberg,Gutierrez,6
Webber,Van Der Garde,1
Van Der Garde,Bianchi,5
Hulkenberg,Van Der Garde,1
Rosberg,Grosjean,5
Gutierrez,Sutil,3
Vergne,Hulkenberg,2
Grosjean,Sutil,7
Chilton,Bianchi,1
Vergne,Hamilton,2
Raikkonen,Bianchi,3
Sutil,Vergne,3
Van Der Garde,Pic,3
Maldonado,Gutierrez,11
Button,Bianchi,2
Ricciardo,Sutil,7
Vergne,Sutil,6
Vettel,Chilton,2
Vettel,Bianchi,2
Vettel,Gutierrez,7
Vergne,Button,4
Alonso,Chilton,1
Gutierrez,Alonso,3
Pic,Bottas,1
Button,Van Der Garde,1
Hulkenberg,Alonso,13
Kovalainen,Di Resta,1
Kovalainen,Bianchi,1
Kovalainen,Bottas,1
Kovalainen,Vergne,1
Kovalainen,Van Der Garde,1
Gutierrez,Kovalainen,2
Bottas,Kvyat,13
Ericsson,Sutil,1
Sutil,Ericsson,4
Bottas,Raikkonen,16
Maldonado,Ericsson,6
Grosjean,Ericsson,22
Perez,Chilton,3
Kvyat,Sutil,4
Bottas,Grosjean,14
Bottas,Ericsson,8
Perez,Ericsson,21
Bottas,Sutil,2
Gutierrez,Ericsson,12
Bottas,Hulkenberg,12
Button,Magnussen,7
Massa,Magnussen,7
Magnussen,Massa,6
Kvyat,Gutierrez,16
Ricciardo,Alonso,20
Massa,Kvyat,13
Bottas,Magnussen,16
Ericsson,Vergne,1
Raikkonen,Ericsson,12
Kvyat,Kobayashi,7
Magnussen,Kobayashi,6
Magnussen,Kvyat,9
Grosjean,Bianchi,4
Kobayashi,Ericsson,4
Kobayashi,Bianchi,2
Ricciardo,Magnussen,29
Bottas,Kobayashi,1
Hulkenberg,Kvyat,9
Raikkonen,Kvyat,6
Button,Kvyat,6
Vettel,Kvyat,15
Chilton,Ericsson,3
Ricciardo,Kvyat,17
Kobayashi,Chilton,3
Gutierrez,Kobayashi,3
Vettel,Magnussen,24
Ricciardo,Button,15
Chilton,Kobayashi,1
Ricciardo,Vettel,11
Button,Ericsson,6
Alonso,Kvyat,9
Hulkenberg,Magnussen,25
Raikkonen,Magnussen,32
Grosjean,Magnussen,17
Massa,Ericsson,14
Magnussen,Maldonado,7
Kvyat,Button,6
Magnussen,Gutierrez,7
Gutierrez,Massa,2
Perez,Magnussen,30
Vergne,Kobayashi,4
Vergne,Ericsson,4
Kvyat,Bianchi,6
Magnussen,Bianchi,3
Alonso,Magnussen,18
Kvyat,Maldonado,9
Bianchi,Kobayashi,3
Ericsson,Kobayashi,2
Kvyat,Ricciardo,7
Magnussen,Ericsson,17
Hulkenberg,Ericsson,18
Kvyat,Chilton,5
Kvyat,Ericsson,15
Ricciardo,Ericsson,23
Bottas,Perez,14
Ericsson,Chilton,3
Kvyat,Perez,12
Kvyat,Grosjean,20
Kvyat,Vergne,5
Bottas,Vettel,6
Perez,Kvyat,27
Gutierrez,Grosjean,6
Magnussen,Chilton,4
Magnussen,Grosjean,15
Sutil,Kvyat,1
Bottas,Hamilton,6
Maldonado,Kvyat,6
Gutierrez,Kvyat,5
Vergne,Magnussen,3
Hamilton,Magnussen,7
Hamilton,Ericsson,8
Kvyat,Magnussen,28
Hamilton,Bianchi,1
Chilton,Maldonado,1
Magnussen,Rosberg,1
Magnussen,Bottas,3
Bottas,Alonso,7
Kvyat,Massa,6
Magnussen,Vergne,3
Bottas,Rosberg,3
Rosberg,Kvyat,3
Magnussen,Hulkenberg,8
Magnussen,Vettel,1
Chilton,Grosjean,1
Bianchi,Ericsson,1
Kvyat,Hulkenberg,9
Kvyat,Rosberg,1
Ericsson,Bianchi,1
Magnussen,Sutil,2
Rosberg,Ericsson,5
Vergne,Vettel,1
Kvyat,Raikkonen,12
Hamilton,Kvyat,6
Alonso,Stevens,5
Grosjean,Stevens,4
Kvyat,Stevens,5
Raikkonen,Stevens,1
Maldonado,Stevens,3
Sutil,Stevens,1
Nasr,Sainz,3
Ricciardo,Sainz,17
Ericsson,Button,3
Raikkonen,Sainz,13
Nasr,Ericsson,6
Ericsson,Perez,3
Sainz,Perez,12
Ericsson,Sainz,5
Grosjean,Verstappen,3
Bottas,Nasr,6
Verstappen,Kvyat,12
Button,Merhi,3
Raikkonen,Nasr,5
Raikkonen,Merhi,1
Verstappen,Perez,23
Nasr,Merhi,5
Hamilton,Sainz,8
Bottas,Verstappen,9
Maldonado,Merhi,4
Rosberg,Sainz,3
Verstappen,Ricciardo,12
Nasr,Perez,5
Sainz,Maldonado,4
Sainz,Button,13
Grosjean,Sainz,10
Verstappen,Hulkenberg,17
Massa,Sainz,8
Verstappen,Sainz,17
Bottas,Sainz,12
Sainz,Grosjean,18
Grosjean,Nasr,13
Sainz,Stevens,7
Sainz,Merhi,4
Maldonado,Nasr,4
Verstappen,Ericsson,12
Stevens,Merhi,5
Perez,Sainz,17
Grosjean,Kvyat,14
Verstappen,Nasr,12
Ericsson,Ricciardo,1
Ericsson,Alonso,6
Massa,Verstappen,3
Maldonado,Verstappen,2
Massa,Nasr,10
Kvyat,Alonso,7
Verstappen,Merhi,4
Verstappen,Stevens,5
Ericsson,Hulkenberg,3
Kvyat,Sainz,4
Nasr,Massa,3
Maldonado,Sainz,3
Hulkenberg,Sainz,11
Ericsson,Verstappen,1
Nasr,Alonso,7
Nasr,Hulkenberg,4
Perez,Nasr,6
Hulkenberg,Stevens,2
Hulkenberg,Merhi,2
Ricciardo,Verstappen,3
Button,Stevens,4
Kvyat,Verstappen,3
Sainz,Hulkenberg,10
Sainz,Verstappen,4
Merhi,Stevens,3
Massa,Stevens,2
Massa,Merhi,1
Verstappen,Bottas,16
Vettel,Nasr,5
Vettel,Sainz,17
Sainz,Alonso,14
Vettel,Stevens,2
Vettel,Merhi,1
Vettel,Verstappen,9
Vettel,Ericsson,7
Perez,Verstappen,4
Sainz,Ricciardo,13
Ricciardo,Merhi,1
Kvyat,Merhi,1
Ericsson,Merhi,4
Nasr,Kvyat,1
Ricciardo,Nasr,8
Alonso,Merhi,3
Ericsson,Maldonado,2
Verstappen,Maldonado,3
Ericsson,Massa,2
Kvyat,Hamilton,1
Kvyat,Bottas,5
Alonso,Sainz,9
Button,Sainz,6
Hamilton,Nasr,1
Nasr,Button,7
Nasr,Stevens,5
Alonso,Ericsson,14
Sainz,Nasr,4
Sainz,Rossi,1
Verstappen,Rossi,2
Verstappen,Grosjean,13
Nasr,Maldonado,1
Perez,Rossi,1
Perez,Stevens,1
Kvyat,Rossi,1
Nasr,Rossi,5
Ericsson,Nasr,7
Ricciardo,Rossi,3
Ricciardo,Stevens,2
Kvyat,Nasr,4
Massa,Rossi,1
Grosjean,Merhi,1
Alonso,Nasr,4
Rossi,Bottas,1
Rossi,Grosjean,1
Nasr,Grosjean,2
Sainz,Raikkonen,9
Verstappen,Vettel,9
Rossi,Nasr,1
Rosberg,Verstappen,4
Nasr,Ricciardo,1
Raikkonen,Rossi,1
Button,Rossi,2
Vettel,Rossi,1
Maldonado,Rossi,1
Ericsson,Rossi,2
Ericsson,Stevens,2
Stevens,Rossi,2
Rossi,Stevens,1
Bottas,Merhi,1
Bottas,Stevens,1
Sainz,Ericsson,22
Hulkenberg,Nasr,9
Bottas,Wehrlein,8
Sainz,Haryanto,5
Sainz,Gutierrez,4
Gutierrez,Haryanto,3
Bottas,Palmer,5
Sainz,Bottas,5
Button,Nasr,7
Magnussen,Wehrlein,12
Magnussen,Nasr,4
Wehrlein,Nasr,6
Sainz,Palmer,11
Verstappen,Palmer,6
Magnussen,Perez,9
Kvyat,Wehrlein,8
Nasr,Haryanto,3
Magnussen,Haryanto,5
Ricciardo,Haryanto,2
Vandoorne,Hulkenberg,1
Grosjean,Haryanto,6
Verstappen,Haryanto,3
Vandoorne,Perez,3
Wehrlein,Hulkenberg,2
Ericsson,Wehrlein,10
Verstappen,Massa,5
Perez,Haryanto,6
Vandoorne,Haryanto,1
Perez,Wehrlein,5
Vandoorne,Wehrlein,4
Vandoorne,Nasr,2
Hulkenberg,Haryanto,4
Massa,Vandoorne,3
Wehrlein,Perez,2
Kvyat,Vandoorne,2
Grosjean,Vandoorne,7
Vandoorne,Ericsson,11
Gutierrez,Palmer,6
Perez,Palmer,8
Bottas,Haryanto,2
Button,Haryanto,3
Vettel,Haryanto,1
Verstappen,Magnussen,10
Vettel,Palmer,3
Button,Palmer,6
Ricciardo,Palmer,3
Hulkenberg,Palmer,5
Hamilton,Palmer,1
Hamilton,Haryanto,1
Raikkonen,Palmer,4
Raikkonen,Haryanto,2
Vettel,Wehrlein,4
Button,Wehrlein,5
Ericsson,Palmer,8
Ericsson,Haryanto,5
Sainz,Wehrlein,6
Ricciardo,Wehrlein,6
Hamilton,Wehrlein,3
Magnussen,Palmer,7
Haryanto,Palmer,2
Grosjean,Palmer,11
Hulkenberg,Wehrlein,7
Verstappen,Wehrlein,7
Verstappen,Gutierrez,8
Alonso,Haryanto,3
Gutierrez,Wehrlein,4
Ericsson,Grosjean,3
Ericsson,Kvyat,3
Magnussen,Ricciardo,2
Massa,Wehrlein,9
Palmer,Gutierrez,2
Massa,Haryanto,4
Kvyat,Haryanto,2
Palmer,Haryanto,2
Wehrlein,Haryanto,3
Gutierrez,Magnussen,9
Massa,Palmer,3
Gutierrez,Nasr,3
Grosjean,Wehrlein,12
Palmer,Magnussen,2
Ericsson,Magnussen,5
Gutierrez,Raikkonen,1
Haryanto,Magnussen,1
Palmer,Ericsson,7
Haryanto,Ericsson,2
Sainz,Magnussen,15
Hamilton,Verstappen,7
Ericsson,Gutierrez,1
Raikkonen,Wehrlein,1
Alonso,Wehrlein,7
Nasr,Wehrlein,5
Alonso,Palmer,9
Nasr,Gutierrez,2
Nasr,Palmer,1
Nasr,Magnussen,2
Rosberg,Haryanto,1
Rosberg,Nasr,3
Palmer,Nasr,3
Wehrlein,Alonso,1
Sainz,Massa,3
Verstappen,Rosberg,2
Nasr,Bottas,2
Kvyat,Palmer,4
Wehrlein,Palmer,2
Wehrlein,Ericsson,9
Hamilton,Ocon,7
Raikkonen,Ocon,6
Nasr,Ocon,4
Verstappen,Ocon,13
Kvyat,Ocon,6
Gutierrez,Ocon,4
Button,Ocon,4
Wehrlein,Ocon,3
Sainz,Ocon,8
Ericsson,Ocon,5
Magnussen,Ocon,8
Vettel,Ocon,10
Gutierrez,Sainz,1
Verstappen,Raikkonen,12
Alonso,Ocon,7
Rosberg,Palmer,2
Rosberg,Wehrlein,1
Rosberg,Ocon,1
Grosjean,Ocon,5
Palmer,Button,1
Sainz,Kvyat,5
Palmer,Ocon,1
Ricciardo,Ocon,10
Alonso,Pérez,1
Ocon,Wehrlein,6
Hulkenberg,Ocon,4
Verstappen,Pérez,1
Bottas,Ocon,9
Palmer,Sainz,2
Massa,Ocon,1
Stroll,Ericsson,7
Giovinazzi,Vandoorne,1
Ocon,Kvyat,2
Ocon,Alonso,5
Ocon,Massa,4
Vandoorne,Palmer,2
Hulkenberg,Vandoorne,4
Perez,Ocon,5
Stroll,Wehrlein,4
Ocon,Ericsson,9
Palmer,Alonso,2
Ericsson,Stroll,4
Alonso,Stroll,8
Palmer,Stroll,1
Perez,Stroll,15
Perez,Vandoorne,8
Ocon,Stroll,9
Alonso,Vandoorne,6
Stroll,Palmer,3
Wehrlein,Grosjean,2
Magnussen,Vandoorne,3
Stroll,Vandoorne,5
Vettel,Vandoorne,6
Palmer,Wehrlein,4
Vettel,Stroll,12
Hulkenberg,Stroll,12
Stroll,Grosjean,10
Stroll,Alonso,3
Ocon,Raikkonen,4
Ericsson,Vandoorne,4
Ocon,Bottas,1
Ricciardo,Stroll,13
Ocon,Vandoorne,6
Ocon,Grosjean,7
Bottas,Vandoorne,4
Ocon,Sainz,6
Ocon,Magnussen,6
Bottas,Stroll,8
Stroll,Sainz,2
Magnussen,Sainz,5
Vandoorne,Sainz,3
Ricciardo,Vandoorne,4
Stroll,Kvyat,8
Magnussen,Stroll,4
Kvyat,Stroll,6
Stroll,Di Resta,1
Ocon,Palmer,2
Sainz,Stroll,12
Palmer,Kvyat,1
Palmer,Perez,1
Raikkonen,Vandoorne,2
Palmer,Bottas,1
Vandoorne,Stroll,10
Palmer,Ricciardo,1
Verstappen,Hamilton,8
Vandoorne,Massa,1
Gasly,Ericsson,4
Gasly,Wehrlein,2
Grosjean,Gasly,5
Raikkonen,Gasly,6
Hulkenberg,Gasly,6
Hartley,Wehrlein,1
Stroll,Hartley,3
Sainz,Vandoorne,3
Vandoorne,Hartley,3
Vandoorne,Magnussen,1
Hartley,Magnussen,1
Hartley,Ericsson,6
Vandoorne,Grosjean,6
Hartley,Grosjean,2
