id,role,riotId
ykO04MZAV2CHs8dWldDQYZKu9y8kvnYf-I9UZXgJ_y9X1crMrvHosT-HZJkOwGIV3vXSDl2Q0WBqVQ,TOP,Top For Ban
5U13xYQ8BhuQgAtg8BxNJWmQ033F1Kc50tS4qLodZYit97az_AwXFy63Dy81paH7rq6CGnA1sb6DfQ,JUNGLE,Conor McGregor1
A6haAdkAVG1xcI4iQuoCL0Y1tZzUTaYphIrYy1rBkDHWcO5aZTqmJb-G_mLYEtaZOumxQ0P1_RLaXQ,MIDDLE,Óc Chó
PrXX92GBOcJygZgfqa0emnuISHJeMuWAGf3t9RPqTFdp9J3rojJi8utDutNA0VvHd9TDXn5kIhSSnA,BOTTOM,Mishigu
I84584IugfSAl3JEz9cO0mngzgpEuY1Mf55Sy56_mnZlBuEomK3AK9qMwUBueNy9brbW7x65nAVKKA,UTILITY,Αrt The Clοwn
Bhx5l4-7764aGD8YIKDgsgmRx1ZLT_Rv7KUdrKDVkod5p9CTmHCUEWylrgS5h7mhOkrZv-ePOX7YLQ,TOP,Gengero
LJWi5Y9zetkOM6aMMy2i3NBMzF1glJG1suHhwstwChfX1tQASCE_4SRZGthoKunNEu-j6ysD-GMM-w,TOP,
8HFtwmwDrIYK3rP0LshG8L2KIsMZK6Zif9eXce5REa2C5ThSH0TO_9DcZnT19MomkOXN19euWVUXag,JUNGLE,Miyamotô Musashî
MW5dVv_e3qer2aMEPxuQhpz3g-_-nDRrb1JN2eIX_BwGMpYs_G2EiCR-96yU8oS_s0_cCEm6jJqFOw,MIDDLE,Adiss ex machina
4CMsNK95Lf7Cs7vygflT6HVsqJXo_Fc2P1veJWicEoxQQPmliGkZ-Ar_3IaFLpCIF2ixu2upx96zwQ,JUNGLE,bu rüya benim
sQ_O1u3LbMZ8BZki30INVVJyIzHaBw-xZ-01vWEKTmm7BVwmOMsIfZjkX7E2mne4HjCOXB5buL4cxA,TOP,gostozinho
gg6uvjKNYBV_I91HgHwr6hmQkHA8ZPf7SXpJAYjmn6fmBECi8w8zDu0JQs_RkqJM-QgtzGNXGe_3bA,BOTTOM,SupremeG0at
kw95W3HzI9VUOz2IQwAUDzwhbZEZw6WzLIEtnjuE9ffLfIWh7MzOo-TBfGxwBYvW5b9rj6gvKWhkaw,UTILITY,ALBANIAN tief
ORDDD_2IiqPCXZs_ybAkZsy1Pc-xmexvzreWAr6qIPCnO7y4QsXt1FREIc7Yn-sgBe9rxUDompZX7Q,TOP,twtvFornoreason 
l2kag0jk5FE9R-95bESyOQDk8d_t-k_B62y5AgWDL27fkV4pDFZdRYz0l0Y5PKhOL5pgrcYhq4jtIw,TOP,0MNISSIAH
0S-v3l6n4KSmliEv1gkp3VyAKTCL3WGCHHLXnDSnwu9bPUlb3oekssK1pYb0V6hmrZsQ2soZmbu7Bw,JUNGLE,
v9LdCsT8tBTUvLDN_LB_DtjSc8cM-wAP9o-zwW4H5riBNP_fYt15--77gAafuDSDPTIGnpoNC-9L7Q,MIDDLE,dèad inside
0q8nPsUjrM8iwiReIrMAw2NDz9F71nCRFib59d_PHJ3z6VvreY-oHf3jb5smdls72cWeZNm6aG5dpA,BOTTOM,
06hxfEYO6JA9MautX0zMH_DUhFqMOyoAb-GAjtNG9KxZsDZBvNIU0entygNAFbmYRvF6zTtMTErkMw,UTILITY,UnlookyPoopy
7rK_vqrdECm5BMJr38dibGgrQeRzZmSMY1eGuK7AxyDir3I2yWPkOa1J9Ct_OtXA3JU1mO3Qr7zbig,TOP,BIizer300
AYjOyo_n2NeyiTZkbOrIA30O4WEQ7dsln3TfCLwXR4CFXum5XvJTrxVLKRJNmeJQMU3CdBo17Gj9ZA,TOP,Balrog1177
VfmD4dE8JgdXxBQhIdvpdipL5IxIGvzv611gyJ5d0CcgwnbHGaJKUEUUfO0_swjcL-q5PB6Y_JUCNQ,JUNGLE,Error18547
DxdWeGHAUtv-Od2kTfeXQ7qKKFB-KPlpVi9TQ_qcR482pIbft5l7FYZneL1z4RxOnAFH-eWQ_SmNRw,TOP,Łerax
6FVsJX2JR-Bg92czHUrVyOHTpy2tkLqvv9APBeF0zmN9N9ARsjgL9NYy32wLjlPim9E0cAl_CYh1Kg,JUNGLE,BOMK1YANER
PDXONZHyOzBxQJ3MPL4T2YIVRujFuMVu7TAIYr8pD8xthbygngOdUEXXiQdonVflQplKj8Sa72vDmA,MIDDLE,DonJake jg acc
JEzozpNtyWhHAIJIBTwIbLTgDjVsEkI2wMzEU-JztfZJGC84Y10v6ETvkzSTociKiFq9gYWADuHR-Q,TOP,Diablox9
4WyIdqAFc0RKAOvzmyja9JD53mjrbYCQsj14siNoiyiG9Oc-QxWbl6Fe-KwD2O6egUfwR93yuJ7xcg,JUNGLE,Joinze
UvrmQaVvKhkeEYWRetsjoMvQW11AyhL4xPPWm9IU3ysBSkEceD1SaLn_Dyz9v4SEwe1i3yCwtknXGw,TOP,Trailer
Aged-p9kTkpLEp4uqtAGhph3oG172N8u6WO9vNPTrrIvclGrBEJIQfLARTWVC3tMDBoW2fTCRFMZXA,JUNGLE,
QBBXx3a88VGLxYUlNOEa9aRzi01iQsCKO_FEEhEp8tdAnVxTIhfFr9oGF_K8mBeSBK4Wg-Os5p8IDw,MIDDLE,SEL0
RIYOBKq1gt4cnkMcF2VfYxQb9CLq2WRFqRVkEy_yOH_7tpRlc9cALO42d8Mvh8KS4njrsSHylrOODA,BOTTOM,Kaneki Kenal
P7O62bL4S1URgrBx1ZmzcyNw1AsRF5wUo3HOFBq2mXCKBD-Rf7YZBH2neD0pc9qKtwJhTu5iz7FnLA,TOP,Nillee
TZ6DtO_43ReM7nkuxSGtSBFwChs8nMtN9H39G4He-3GgOwX2DD8hTF_LcJsAQQ-dDInVE-WPno96bw,JUNGLE,BL Bitse
HWYup6IlXtDXGnAVgY66UR8jtUw_DcCMAJdhblhkEP--yBrcr3oPGZje5sF8SN6qXoZ0oLv3akbksg,TOP, q t u hgd v
rxfUNdN8eiYPrht146sWbua7lJF1Dm36BcLAdgQLysDKVdpouyRXU9bZkw8Ho1sG6lQ9k1ZlZ8K1TQ,JUNGLE,CHINESE DEMON1
2onfkrHqnkMnc3deOvVS1q98nLuQfkmNsj0lbRKCLh-vn-GMekmSjIcCir4V8SFq5_3gRIPWvgpQiA,MIDDLE,SupremeG0at
T09vCEuF0Oqv7LfDGUhomq1qqrjr9T_TGeJsiTUfHMgs1rllxYoKSy__1cU4jG7JZhTkHbTJmDIgxA,BOTTOM,Mishigu
VmTHDnmInzCpelsa5fdpgTnocUTT2NjiEoxMrt2NV2st7Ob3N3SZPj_eIEyGfFXhPcVzEy64-VBVyQ,UTILITY,Yanis Benj
FfE-z5sGr3E4rj-YmtsF8l-C_7tRxkjW8y0lzyaF9e88TxmlPcImHtjJ72HTNSZUy2IkuWjzQjR_VQ,TOP,Hnnibuns
zWv9PH8UkGwxYOqlOVXzHapw9EL06vx0hSvPHt0B1oly3XUx4uhOxwReBW36mA9R7YhIzkWP3HUQqw,JUNGLE,BAZOOKADOESDEJOB
_ddjvFP2gPfWnj2YTCGzJoXNYUP5DDZma8RzEXapzzQUpb0ViDVLQbG-zE6bm-8OmwAW-RlXXIuklw,MIDDLE,Built
SlzOuRJgivjrSCcRHZaqJlSXLsmdc5p8ZmtGrZ3x0Wl8m11FOtdvNAfxW-zs8d2ZchrzrKn803OfEg,BOTTOM,Sexy1
whjDJ_tqZgxNzf34mWla0Hdauu9MuWKBY5M_qbBtQkIy4unKrDXbIrPAw0AGT8vR_wuTUCwO9bAuqA,UTILITY,SaZeD
vHei1YSeXY9X0t-u6qxSzOqWvLzxsfPnLhQ3XOGSei15CMe1F4n4eaz4wNetGJ07SifuIlXhsw2IOQ,TOP,men fouˆˆ
p8ivqYtl6m31z3uLw5Lc7FVhKuiUGPmamU6dkewsOgFgzQkiPn1K0zbCKa92O6xcKi0pUpBNSPLB4A,JUNGLE,Andreå
1uU8m5AW-dz1BIdEwODwMMCJTVCnVOwppD808NgSgUI4UME6AC-M2zqZPnP0Fx-FHylnHxhsSqcBGQ,MIDDLE,TTV CloudV2
5tmyVd2DgMxSLr69NXGNXgMXjwceMER_r8bGn-CYLLS_8tgmr-JXeYxnNaJDEU_vCyRR3isweZSEdg,TOP,Wo Shi Shanyang
FUZfRfWvpShUQOH6DhADIqeZERN71Jbf1Yo8uVvtpn8_VqQ1EVIOvLCJtynFpkeRP9UdKPKinq3f1w,JUNGLE,LA GADJI PAQUETA
16c4IsHFQisvVOV0doq2d1LU1pV-DDqYAlgXpxhAids4YEXAuWwA9F2uQPmovv0PiVyvEHyEgTRjlA,TOP,Diablox9
ZOrRXoYu5Xze3p9oqtJbfQHm5f-fSYPJRdzJxADld3VgfySaz1WT4KHjjjYZcvri0ZfdfyHduZCabQ,JUNGLE,styropianzserem
i2yKrKbmJC5fKPPcPwdDGpOIcfHq3sptSkrbFw1IemSnrH9Kn-R0tbXKYN7gwZpBd6CShZEqlM04ZA,TOP,Wo Shi Shanyang
QKNfASvm0cCcW0bC89umYcPQX-A7PnHmHujXOysI-gUBhN7Y4intJj4hPIAgF2U3q46i8pxVEI410g,JUNGLE,BOMK1YANER
2TEt75i6awLWg7reZhEPAWicn_CcaryJsbtXmZBad3EzYSYABSE9l4tHDU8SzIaxxeuS2-pE7Dv0EA,MIDDLE,TwTv Odysseus131
le5_4IaJA2QYvcGoz-1YmX1xhXAaBm0AgDY36VjrwugjJEn5RdYW3Yq_YWFTTTU98FV1YGOd4L8Hfw,TOP,Crepek
hOjGO1eO7RmDDpieu3r8gqB6t8ksLLUdnEyaccPPz_p98CRlJmwnJD27IdwBBkyD1CcCgT03Uj1EYw,JUNGLE,BOMK1YANER
NnD7hkGi_LDVbVSb4pYMk11-cRZvHi650igSZd7BYqYOg1yZRilhrwILYOdr_-Zld8cdroF2vvLk8g,MIDDLE,z9a42z8t04i1l44b
G41C-dcYNQK3Vgza8tqbTYLfkgbYL4r0mJxjAS0O0Wy3w1a4_V5Mo1tqEYZgX3lH3VcMKDaRuGezUA,BOTTOM,Wanheda Katashi
cOPKPizLphIHIiNGDHbNYcJ3QFvuV3EpbOqboqUTMv_uHUFAxxasYzKHErrMK3R9xY8TgKmmoL-BAg,UTILITY,B1G MENTAL
0FxDlaO37tpB-JfHjaWE-2lMKH_ZIfQz4ifLdiMdlWjQVTmxvYQ2sHDJ7Qvrx1QSwySTYRKDsUgrVw,TOP,PooEyedCripple
C7u_3PJ_drrgyvDdLXQM_eTEwXX-YzUEC7sZVNCOWmNSAQbpB6Rcg-au-Wggwd5-z2hAMDsq93crpA,TOP,price369
wSIvdtAh7s46JL_HxI5Vy7ypTD6o17yUhhXbWk4Lz-YH0xTOdSHaPWC3f4uMKSWejRW1pRfwsrpFXQ,TOP,TOPIrrelevant
u0ZNh1YGDVNsW3h-c-ewmNkgu35yWDNtfGRQmB4oYn1EKcbWeOqN0nvLOsz7uP7l4VqDuwuMVTqhrg,TOP,Jordæn
YFaXZKIbSilezzsONPfwvaB03LRcKlVbngpzv-Z-hGpPL7zZ5HH8a4Qi1l2rNh74q2d_xXSqQcL99g,TOP,JNX369
pxnKzN-WbYkB10bYBhadwwXyWZoVYwOjVaXmitUmEDqadEThE3HaY0xvOHBsBqwk9HZ9lQ-GuJX1JQ,JUNGLE,Purple Place
mkskVqcebUo28IUJAT9S-DJyzAJEYBzXLIoSWr6e5hIoq0NhLbU728mlghpQLEXspYGPhCkbfdwyRw,TOP,Slice
iO0AyJ6osq2ulVQB7rsqUCyHgjGxh8fPinzRa7wY6ADMGz71Rdx7w9CAhkn-WitjeX1SroMQ2qKe8Q,JUNGLE,Jοhn Rambo
eiZbe_w9jfqj3o9-KzFlqUUSz_oADIeKvAL4j9wj6-y030DrJDvqTsOo6EyTE_x4AuPRvbypmSfTXg,BOTTOM,BOT GAP OUUUU
DX3XhdmvVopIrekBa4-60-UWZyiLfAZmMtdzrqgRv1HradxnZB7dBWaL-bfL7k2SBo2KU1OcLqLwVQ,MIDDLE,Knurble
U0NeGuXBJakfW5ygdVb85FBLMVdgD9NljKVD7wpq6UOmvbZVxjwxRH5TS6fa38sreVlal19_hrB2Gg,TOP,JNX369
z-1yFn82lGHZepjiUPGSrQJQ6JVmuu8xxZWIfvpbPHvq-WVZWrnoIJBDQt1BhSoR9oSBNLRVRgCdzA,JUNGLE,eyes diff
lnk188lOH_MqvAUGN5pWnTSqCDt1U4W4yOl2oLkLLFxLP0KJem4LCXQJmoFIhbUNKbb8QKNqEWwD9g,TOP,JNX369
2LNieDzbce35Z4c7HJT3xu8c12eXavthqdmMx0pC1O6wEaOWYTq27K3E2USeUUxc_WgzzIQoNoaq7g,TOP,KEVIŃ LEVRONE
wSnNCEwjHsIWVT1IpOQduYl5YRw74dMqgcf7638A0OoP0yZd_6uNvxFGd07aZgkR1UDwmMxOnGw_Pw,JUNGLE,n00b st0mp3r
QVlu5P1Oywql7QIghRt-K7TX6NSZQYHCOii86RiFeiMW4v3NYW8SzCbMxiKIlBVLB76tb0vxXN7Qgw,TOP,JNX369
PbKHEIIc1QY1vSQmgPmy4ddXJCIsP6GGBgpIZOGOHfIj6ziW3_7XF2jGnlyjXDJ7OoALNztyf8jm8A,TOP,JNX369
YDgHiEGHwFG1w56hKolHowRK85wYDFlEYQIlqp7maIJnGeYRhiIQuY0i4YNq1Hbin75tgIkDQZmveQ,JUNGLE,HATE ALWAYS WINS
Mbhp8REYe5fIEA6PZPt7u42iriLBlm1Dac60BLv_e8OOgnJdKV1CqEZgoiQivgJuaeryyKEK72ShAA,TOP,Nillee
r9yPquue3xSKj1pMVaAcXQJZbEcyZ9ctr8dEyTs_64Gtf0tkD33AztqQVscCVShcsasYZPn2eB5hsA,JUNGLE,Ðepartures
ZQQ-RUcZTEwQS6vVnEcueYLFgLl8UXrAGg4fTOzAqjwiMQpoUnGttJMEhyY3H8fx-I7_HsKn5NoSlw,MIDDLE,blueskies777
CWXf9Jw8ICNJYD-lnLkkrzGbv6tl3iXf8AVLiVjPxLuXK74dNTbzQQiRHzBHVoPEfrEB4vKv4ymy0A,TOP,Maynter
MFZqvzLj24lXS9MI38czBq5t6HhRLD5Q5KagI6DIZ5_zLoa9XO6JCt0RmMpvgJVSHKDJyAWAK6CUsA,JUNGLE,LA GADJI PAQUETA
MzA2ZUlzwPLdIKfSgRBPLFQxspCi2no7igfP7mDOedc3HkmOZhnBoz8HHH95O87s6aCrljB8MFyXIw,BOTTOM,Maynter
LJTr6n_XUgBogTxi3DH6zfvPWoN4xJmMfNDKj8sU29XFTxXnYB8ASdREoMVn2yTE60j2sX1SmLjgXw,TOP,Maynter
INg9zE-tntDRROnhK7KIxLIlnNXg2fSOoYrx7WKyzwx8-lyJ7Ypa6gWiLcox16VGab40oWVxC0nnYA,JUNGLE,113 Senna acc
gWZ9LTqE_HeGFpqZDtvXzfHBMKKeBX-01OBb-f6pVAYDX-qPt64d1fo4y6sa4CUQrEMdzRiz75NpgQ,MIDDLE,GO toucouille
l0hDOVCufhM-PkOA_xKwgfaVIV-EUH8ZazD-qbG79wjnfHdT2MvNXgM5C-0adU5ADyyRAHE4vV76kQ,BOTTOM,Hannover
Z5QClf69WPq8pWhqyok5oeW8Vf72En3b43BkLP-VSF5uqh3iEazE6GYVZNDe7bueYKCSFdMw2ilW1Q,TOP,ΑrchΦiend
RLViUD5lDUmKpRHMWSmOY3IhWN9mQdNQl59TEIfofsetxPGrnkWsxQNjAzJbW2YfiO1czj37JQW-OQ,TOP,Maynter
cC9FYRhHRR2BYzkLl0f5uZtJZjdUI2aGZlmYYRzCasZ2oZp9q09x9W9yaerSrCs1Jy_OEkL1rmVKMA,TOP,Maynter
LvVhOxkMay4veF7LzTMHNRfTyyu7c8fmGUeDeWAvTqaz_f4COlFQrAgoFeW8cu34JFrkBJoDQHGgeg,JUNGLE,for better luck
8JEE23BZn7-KtCjwb_2Oy8aNqO1A5b7MKEeunKMF8_2xKQIVg3PKbPX8AmMix7h6StkQEQGzN6ZehQ,MIDDLE,ÂDC2k17
B8ktJoxKcTMDmMBn9FXu2BRzYDOKxxBSy_s6TGLOASUkrmTPzttJbou22_G1-mWjJIcfvC0uWghAEg,BOTTOM,
6Qmd7PyP9TeBCiPs8e-LykjTJ2qX7kzs0iMRnMEKSojwaOImH500P_9S4seDXweR4oSqw_G9nhmhhA,TOP,Maynter
kz5NRQfpXg892vXkbyiYxCJ_8TB00-9gm5cXgbnI3TtryvMhEjQYZDJUkNlXXEe7sB8V-UU5ifjVmg,JUNGLE,Gold Coin
I4ubdFC_-dctfIvSDfjbt7HRREf_v_Ti3kXsxwp_RIhmIqZeMFafl9LvnBRKN-2iuW0e9HdPensD4w,TOP,Rosinânté
LWUaE3hDaBB3qFGyNfoq7O4FRRzJXYbSW4aE-u1s_GcKhxZp-tFYAXBPG7aA1q3ygZQHaud5KipbEw,JUNGLE,wοkeupIikethis
d2ED27OLZiN-w88gvxt1e8J6YTPpm7zLHF_p_M8c9CrdbeHo3ors6crFF_TL0DHRqDa1ypvNFnUJ4A,MIDDLE,mikes jackson13
TYIQ88HuDmZeJ_c_ofngsgqh_h8pN-Yv_-TH29uCe7nFm6KfgT-vmaMDw_XRCqGqQKoXzu59Du0M5Q,BOTTOM,TH Bellingham
bcMYd7KWlwypQIn14aKafLO1fkl4rXKXhFAvpZU3BsCxUUnm4uoQxNHFn5TbdpVUD6Kklhq3Ik4Q4Q,TOP,Maynter
6XAf8XE7kcO83-K7AGrphnalHwdxzDOpAt68jr2PEgnRkDscrJcsFx2fs47M2dn_npoP7LuDCfGf7g,TOP,Maynter
FfrPMCZlD7jyotkZxyr9RdMXm2rNuGKTyRtjCPU3r9bXXdQ9DYUo9Tyo_j8CF_L2ULTQjvwXycQCjw,JUNGLE,wxd 4
h0xI64Gnsp3QDXDPKExqAawofJ3NY1-H8hnK9EnK6oLANNG7ohHnCVqT5OI377O5dGVFkVJKt8ugwA,TOP,Maynter
sV5VcPpWhE8esuNWtyCILQFKkd1bMt62AhuEEikeLv4LxiObGTlvu_zILGSWxwz3ihdEkFrUSyCHdw,TOP,Gokkex
1nalRcrkKs-8tLXSf4vY1bZse4YmhScsJ2Svh8wbS7_HgSlNLnuAFWQZRdwM545IOMMdP4VVB5ZeqA,TOP,
DdwzL46nPnfSn9lJNy3vEFGVbYSJNAHbNMqJ160T0iRA5Ds6gKao8b7P63Up7t2SeysR983TnHn0-A,TOP,Wo Shi Shanyang
XUuZg2UcNuKdVgThW9k9aS51FJDegB0J9iqtFq-6LAK1fm0eKQozX8gwwewDKJOkQgbT9kJ8VibKdw,TOP,blueskies777
Cf4F0nKS2aWaMxhrLQXxZ7x_bILgEXPSY4zr8c-ChDoGp3baLSiS6Tl-nhcJ2kzfTOninXUCCQJt5A,TOP,
b8ZwpnZtQ3RX2BWMX4SLYAHkow8UqdTNr6q7a1JqMREjdf2mE65YNcVifof2F6W3Z8sGmAe_D-yTPQ,JUNGLE,Charlie Heaton
XMkc3XLE79R6drTbkhIHGFY7vPDXglUm5S-W3cansxsPtrFmusEDcABcvO4SB8TFqNfw-jLkV67reg,TOP,Return of Raider
MHsswCfcOZ79BsJoLaqs-qci-cSlb-97C2G2BZYOc8ixX5oUiYf_DNsS3ZkNWcNpsWsq6bF3q7s_YA,TOP,Gengero
saiE6Y5SF_Hi6v_Uy_zxw2NEtt06rS4uZbLfbB87ry79DBdoi1kCg1WIHWcMB90n-KJhoJ3V7oLYaQ,BOTTOM,
Ist9i4akzdghvmPDPs3jxMd1N8zzivGtBteVAkhelHrpeg9EsZKYxUgB66RznEvaMwJfew_vEF5lKA,TOP,Wo Shi Shanyang
0g4t20BKWpZGdPaQVfSyu0_CMbjY7nb1oV8vjB5JXpVFzcPHE0GPBQ5bALzldo8mF5Kv_CBY1eJcDg,TOP,NoFioraPotent
2LAW6Zx98XKOHkdr0gS3NUkTYW3R3cZq6Ip3Nb8gR3xp8yPYK-VIXvfSEkBA9FJbO6pd0f_gTDByaA,JUNGLE,Agurin
sWh4jieDhTWEJkdXAPpzP5GDs45iDoSdZK1QuIDHxqMI41JQeR0TUte5_4EIBh8u4oV7oE-C-1qRgQ,BOTTOM,FireAscept
FAe5b7QJCenKwrSYqedAoHAsIHraVfI9-tbSw7nloZuZPAfo_lvSpflej2tROPNQudJovwoc4kqy9Q,BOTTOM,Return of Raider
qEidhZlQOLWoNT6_WNHGA_bwLd0op7UUBmveHrsMfqzZj5uBm-V2hTmcEAxhXrLXpkS2p9f3vYkmMA,JUNGLE,Parrotect
sipHey7bNC0LRI5aoSdOK3PPkud15pS71NUT-Xv8BxS_b_YrnbZ7DryN00Wua44dqNfpWcMuMAvz8g,TOP,ABAZA 1
BbpISWtmjsjT0p1AzC6diXQ5HEoY5THTChxuaiDFp3Ij0Fteyr8kRFWa7OFfn9F0WwsvDxV5zOB1uw,JUNGLE,danka no stylist
vYMvbH48ZelohwVcyRn5fMTWFiVGaIFuKxzHff6ml1-LP1OxcogWn3uiX63nDknmCg7IzBqoU4Q95A,MIDDLE,mid 10
2U83vzo2vQoOtnr-6eVN1ZZxV11uXZcWQZHGt07Uq41qcC1EhW62N1HVN3uMpshXreX5wKQlRzvYDg,BOTTOM,
Jb2Q84MTBAHK6-SGvah70N8wxW8myKu3QvIkptwKncHigwRlo_uKE-yTkp2jE9_3sSkWdkAJjK26Jw,TOP,King Comeback
IVs44Bvqwb30sQQPZIjj5ulqOMVBDeI-YHcYujk8f7EPQouifZgV39zKIwB5HYaInxvtF_mkBXXodQ,JUNGLE,
zdoTs9CooXUwk-Fsf5IzFKqgweATT7-V7kNW4NjqP04pA8XCV-JK6Vc-Pe-RjpLfVjWIbJmp7K_R2Q,TOP,sagolasın
Rv3QhMT-jQDKWPE1O0UW7sLN9_WaK6eTSlKveNq9YIByZPHkNRFXH23zIhcPXgDPLIHUOWUSFrU9dw,TOP,ArTurial
T-wseUrQEo_8Aqic-xjojhkqIuRFuTV9RQ0nSq7OA3PKx-uWzYNmJgfujJYPjdN7ByBmYEBrB_Pi-A,JUNGLE,no micro jgler
TxEILKg46fXzFnSFiNlb2nc9XIrB1IpppdK4Ez5Y030CaWoncE6p1NyoPR0YPldflCQgOvcO_AsTkA,TOP,Jordæn
bX87bPAnPZdjBPVPsTSAu8z_oWgEG1tVeL0xIedyltchlOyu5dWCdwazQpvo-_5BcVU4XAuLIXowIQ,JUNGLE,TTV ShacStab
ImwfWVs-dXnqvohPh3p9wKT65KkF_ECGQy3cEz0mpyTaYYJyX7wXoI0Q06GE2dP8sQdDtNMoaHvK6w,MIDDLE,Yoichi
e9cXDxPtBMDwAoyPzbr-XJAbL47qMaCh9deLXqTktOVXLTdA7_aOvqFUOO3NX3BQH-NcwJ6mIRptoQ,BOTTOM,Legendary Bow
gey1AxOdu1DyzeCuCX936SkXhO7f53JS5-mc4mBz1as6omy9tIImCG_OxyH7L8a1eSjsMUrIdEB6GA,TOP,Wølf Knight
D6ArzRCFwjN1IL_mbww93muVB6wZEHUOPR9vp4YjelW3npN0OwiU3SE_34-FVIg3v66yUqjxGZ0exQ,JUNGLE,Sander FrostV
m1Zy3_CKufY0RxYYdE6gXCGnzJqp_0T3z7UvxRsewzmjlHW61U4Z1M9qLuWDwVwTggUIB3kIm1kkZA,MIDDLE,Angry forces
kuoBx4yuDorE4F9VImuD1GJVqeIqX-0pPG9UHO5zq6e--iW_3J_v5FjYmwZuCsGghGCY_Wey31MDmw,BOTTOM,Git clone
MZLAduLv_H0A4gVrw2452vQVQ_0ZFisM5-ZUyrdoJ506GgY5DudCSF2L760JSjc0LX12BwgNPT2CHw,UTILITY,Amelda
clVYDPSczMGv97MiN-dYPeGemb9NdVDkUXDL31AC3kswJdflIb9u03cDN84yBN4_QAyd2B9CoafQGg,TOP,R5 or Eve top
zsrcKJ-Gg5vkrFhTluj24MIMtnxiqKFCJ5QpxLTIIgpL6XuDJ-_ugnSc0K0xcqnnQiX50UcWZ9wymg,JUNGLE,The end is Vi
ZlHQkpIlrMStyL9A3RQwKDP_cwJjtSHpaDleMpsGyYeJo50mhkG85e-phiRcasYGfeb0WzpVTsbYnQ,MIDDLE,WIN FOR VARIETY
466XPdYMsawawOce2MinitL6EqjQGtu6sSFyw6zMYiIIwtzH6uV12UHT-PjOI7QXY6S_wHAUxAWxyA,TOP,Gruiku
XtFMYXyyhtdWVUhj7nGGPk5bAVaiPu2eR6ZVMhAyO8SZdUpDu7PEsWz34n0RWg_nTUSfrNenqX7mNQ,JUNGLE,Dont Try Mee
tCBoWJxwk2KeGfeU6iu26gPhaNec5iI5lv95cWv-7pNuil4WXkxO8qUmzmyKlY1LLW6d_zIg8U092A,TOP,Coatpustmain
W1L61s-XZwirEpMvL5IKjRuQfqGzDf5IggUO0lxF5q-ObOPUwqNazrtKi7hVU-jwov3ofSGww0Ls-A,JUNGLE,Andreå
5XdV0Wt56wOrLHgZp-JIJ5AAq7yKYtB3v0m2jVOhHIoYchtlgq50X9r7j7rFM1ixXBEVaEMH8eQtOA,MIDDLE,Yartimolf
qm_pB56KejgWtm_xaqcs3PytMLG1lSOUVU0AslwhOmU6CgQcEkDC4BTFKy8IF7RGvpZi5VJ1frh3rg,TOP,Wo Shi Shanyang
VQ98EGLkGLZahsz3Rb6SeDzTwzKCOlJd3pjATR5p_qSZMLy8z0F4vl5eNQXZwPqaZ9vJ_KaJD9myAA,TOP,washed úp
_p0q_v8LD3ighEsMl_9yBHxZm4sujNptVeOwXwld-_4mrX267RLbNpNY4zYJnsoV2DbTRF5g1UtGpg,TOP,G2ThreeEyedSwain
GdhiO-hb5flXv8jHIRyyTkb8ui7y4YJ-SNB-GudM9A2GoxQUI1MPuENSVWMTF16k16B8YXSc9PY-Mw,JUNGLE,blueface1
FHCvYnTedztsYAZvzZlkTYK7PhV9zLF9MBNX5iuofQvjz_r9ZUaCt8TXIZrUcdW3xxXbsSC8DBzIVQ,MIDDLE,vauge1
3xEGj1bLNOImfANf_-_9GNOgHuDRgvlNZgocIRy-APPi5X8vOiV7zaGJf8csO0jSmQOAwmwU_y2K7A,TOP,e ti de quen ves
dxDNdOKaDcYNgqWr_TgL59GoZq7SnfwSV1ZLBok9RpWuXo0OztSlVivGpYwXM56kK8SkHiM6hNQ1qw,TOP,Venour
FwGqG7cgs5ULJtwR_LYQLdsfhlvPpoZaDDycfEqIRHDmQVZHEGQbQWptznPclF-Ke_jx1eLrvbB_YQ,JUNGLE,Gernatshoo
Xs4cppsy9-LtYTc1pFwzNZrkqvptbBf5OaaU3cSVoyqR_rCf0pEWoUJ5TR9xplYSkfLiqpT2IMia0Q,TOP,xLinayaa
LhPvduxVeEFK7zAt-eRdhHS1dC8Z5MUyUUMA_28pnPy8K8IaRngYQnO8U8S0WIv2fXx1dZJ_NSyqbg,JUNGLE,SEL0
vfk7WjI5xONLTThzTD37k3GGXk6WNkueMpivzaUxiUNWrcK4tb5MqNSz26FHKNhFtmtDLwNgccCWJQ,TOP,Venour
KsN-mAbm1XcJfHS7ZFLufCHoNG-nlVcduGcj0L3chPd2_0xStB73QaACqCSEmZZ-4z7BLC9u14eVsQ,JUNGLE,
jWN3eOX3LFIXQ0BUfa79LrqB09jm7hJLGW6c4IBIG1hkFEFfoPxwsNAzDul5pR45iuzxNDcmjDzDlw,MIDDLE,BACA 2026
XPi1wtD2PC0sgTgs94ZFYcgSqcUxj0anqWLNjhbGB3H8bPGDjwxH1BDwVUVc5346RbFEWNXlPqiKcg,BOTTOM,Kaori3
JamJCRfBiwpAIewm7G_e2LYWuTw8j07IbvdTFzbQoeh7OxLfpJsG-7IrWirzxMnq0Q3uchJQwjfaew,TOP,blueskies777
