Overtaker,Overtakee,Weight
Alonso,Kobayashi,3
Barrichello,Trulli,8
Barrichello,D'Ambrosio,2
Barrichello,Glock,6
Barrichello,Kovalainen,11
Barrichello,Maldonado,4
Alonso,Rosberg,6
Maldonado,Kovalainen,9
Barrichello,Perez,4
Buemi,Di Resta,10
Alguersuari,D'Ambrosio,5
Alguersuari,Glock,3
Alguersuari,Trulli,6
Glock,D'Ambrosio,3
Maldonado,Perez,4
Alonso,Massa,4
Alguersuari,Kovalainen,8
Barrichello,Heidfeld,2
Alonso,Heidfeld,3
Webber,Kobayashi,6
Vettel,Button,4
Buemi,Sutil,3
Di Resta,Sutil,1
Barrichello,Kobayashi,5
Button,Buemi,5
Button,Kobayashi,2
Perez,Di Resta,5
Button,Massa,8
Alguersuari,Heidfeld,2
Massa,Buemi,3
Di Resta,Rosberg,4
Rosberg,Di Resta,5
Trulli,Glock,8
Kobayashi,Webber,3
Massa,Petrov,4
Buemi,Alguersuari,7
Sutil,Karthikeyan,3
Sutil,Liuzzi,3
Webber,Trulli,2
Sutil,D'Ambrosio,4
Kobayashi,Schumacher,4
Webber,Kovalainen,2
Di Resta,Glock,4
Sutil,Glock,5
Buemi,Schumacher,4
Hamilton,Buemi,5
Hamilton,Schumacher,7
Heidfeld,Alguersuari,4
Perez,Rosberg,2
Webber,Perez,3
Webber,Rosberg,5
Massa,Rosberg,11
Webber,Alguersuari,2
Massa,Alguersuari,6
Massa,Perez,4
Hamilton,Kobayashi,5
Perez,Alguersuari,3
Di Resta,Perez,4
Di Resta,Alguersuari,7
Rosberg,D'Ambrosio,3
Alonso,Button,2
Schumacher,Perez,6
Rosberg,Alguersuari,9
Massa,Webber,2
Webber,Schumacher,5
Hamilton,Petrov,4
Button,Petrov,5
Vettel,Massa,4
Schumacher,Alguersuari,7
Rosberg,Buemi,3
Petrov,Kobayashi,9
Sutil,Alguersuari,4
Heidfeld,Petrov,4
Alonso,Hamilton,4
Webber,Massa,6
Heidfeld,Hamilton,1
Schumacher,Di Resta,5
Maldonado,Trulli,5
Glock,Liuzzi,6
Kobayashi,Alguersuari,4
D'Ambrosio,Liuzzi,6
