Overtaker,Overtakee,Weight
Coulthard,Wurz,3
Massa,Speed,2
Massa,Wurz,4
Massa,Coulthard,2
Sutil,Davidson,2
Barrichello,Button,3
Massa,Button,2
Wurz,Webber,1
Rosberg,Schumacher,2
Davidson,Webber,1
Trulli,Kovalainen,3
Barrichello,Sato,2
Massa,Hamilton,1
Hamilton,Massa,1
Wurz,Button,1
Wurz,Liuzzi,2
Wurz,Speed,2
Wurz,Schumacher,1
Sato,Button,2
Wurz,Coulthard,1
Schumacher,Speed,1
Kubica,Schumacher,2
Rosberg,Davidson,3
Coulthard,Sato,1
Schumacher,Barrichello,2
Coulthard,Davidson,1
Liuzzi,Albers,1
Rosberg,Kovalainen,2
Fisichella,Barrichello,2
Webber,Barrichello,2
Coulthard,Trulli,3
Coulthard,Barrichello,1
Rosberg,Wurz,3
Coulthard,Webber,2
Coulthard,Fisichella,2
Webber,Fisichella,2
Heidfeld,Alonso,3
Trulli,Fisichella,1
Barrichello,Schumacher,1
Davidson,Sutil,2
Webber,Liuzzi,2
Trulli,Sutil,2
Heidfeld,Albers,1
Heidfeld,Sutil,2
Trulli,Sato,1
Sato,Trulli,2
Kovalainen,Davidson,1
Kovalainen,Wurz,3
Liuzzi,Webber,1
Massa,Alonso,1
Sato,Raikkonen,1
Liuzzi,Trulli,2
Kovalainen,Albers,1
Alonso,Wurz,2
Alonso,Barrichello,1
Alonso,Albers,1
Alonso,Kovalainen,1
Barrichello,Albers,1
Schumacher,Albers,1
Kovalainen,Trulli,3
Alonso,Schumacher,1
Sato,Schumacher,1
Sato,Alonso,1
Davidson,Albers,1
Fisichella,Albers,1
Sato,Speed,2
Fisichella,Davidson,2
Fisichella,Button,2
Liuzzi,Wurz,1
Fisichella,Speed,1
Sato,Sutil,1
Fisichella,Sutil,1
Kovalainen,Heidfeld,2
Fisichella,Wurz,2
Alonso,Trulli,2
Button,Speed,1
Raikkonen,Heidfeld,2
Fisichella,Liuzzi,3
Sutil,Albers,2
Davidson,Button,1
Alonso,Rosberg,1
Alonso,Heidfeld,2
Alonso,Fisichella,1
Hamilton,Kubica,2
Massa,Barrichello,2
Massa,Davidson,2
Rosberg,Speed,1
Massa,Liuzzi,1
Massa,Rosberg,1
Massa,Trulli,3
Fisichella,Kovalainen,2
Rosberg,Trulli,1
Wurz,Trulli,1
Kovalainen,Fisichella,3
Winkelhock,Raikkonen,1
Winkelhock,Sato,1
Winkelhock,Trulli,1
Massa,Sato,1
Sato,Wurz,1
Winkelhock,Wurz,1
Alonso,Sato,1
Winkelhock,Fisichella,1
Button,Webber,1
Button,Sato,2
Webber,Sato,1
Fisichella,Trulli,2
Massa,Kubica,4
Button,Wurz,2
Webber,Wurz,1
Alonso,Kubica,2
Button,Fisichella,1
Webber,Trulli,1
Button,Trulli,4
Button,Kubica,1
Webber,Kubica,2
Coulthard,Kubica,1
Hamilton,Trulli,3
Hamilton,Fisichella,3
Barrichello,Trulli,1
Barrichello,Fisichella,1
Sutil,Trulli,3
Barrichello,Kubica,1
Sutil,Fisichella,1
Sutil,Kubica,1
Fisichella,Kubica,3
Massa,Winkelhock,1
Alonso,Winkelhock,1
Coulthard,Winkelhock,1
Webber,Winkelhock,1
Kovalainen,Winkelhock,1
Raikkonen,Winkelhock,1
Wurz,Winkelhock,1
Kubica,Fisichella,2
Barrichello,Winkelhock,1
Fisichella,Winkelhock,1
Schumacher,Kubica,1
Schumacher,Winkelhock,1
Kubica,Winkelhock,1
Heidfeld,Winkelhock,1
Heidfeld,Sato,1
Sato,Winkelhock,1
Webber,Coulthard,1
Raikkonen,Kovalainen,1
Kovalainen,Raikkonen,1
Kubica,Barrichello,1
Trulli,Winkelhock,1
Davidson,Winkelhock,1
Heidfeld,Barrichello,1
Raikkonen,Webber,1
