Overtaker,Overtakee,Weight
Coulthard,Trulli,1
Coulthard,R.Schumacher,1
Trulli,R.Schumacher,1
Bernoldi,Burti,1
Panis,Heidfeld,2
Verstappen,Heidfeld,1
Irvine,Marquez,2
Montoya,Fisichella,1
Raikkonen,Alesi,1
Frentzen,Alesi,1
Burti,Alesi,2
Irvine,Alonso,1
Raikkonen,Button,1
Raikkonen,Fisichella,1
Frentzen,Fisichella,1
Panis,Trulli,4
Heidfeld,Trulli,4
Montoya,Trulli,2
Coulthard,Barrichello,1
Verstappen,Alesi,2
Fisichella,Button,3
R.Schumacher,Mazzacane,1
R.Schumacher,Irvine,1
R.Schumacher,Alonso,1
M.Schumacher,Hakkinen,2
Bernoldi,Button,3
R.Schumacher,Marquez,1
Montoya,Irvine,1
Verstappen,Frentzen,3
R.Schumacher,Trulli,1
R.Schumacher,Alesi,2
R.Schumacher,Fisichella,1
Barrichello,Fisichella,2
M.Schumacher,Fisichella,1
Barrichello,Mazzacane,1
M.Schumacher,Mazzacane,1
Button,Mazzacane,2
Hakkinen,Frentzen,1
R.Schumacher,Frentzen,2
M.Schumacher,Barrichello,1
M.Schumacher,Trulli,2
Barrichello,Alesi,2
Barrichello,Trulli,1
M.Schumacher,Alesi,1
Fisichella,Alesi,2
Button,Alesi,1
Burti,Mazzacane,1
M.Schumacher,R.Schumacher,1
M.Schumacher,Frentzen,1
Barrichello,Frentzen,2
Barrichello,Hakkinen,3
Barrichello,R.Schumacher,3
Button,Marquez,5
M.Schumacher,Verstappen,1
M.Schumacher,Coulthard,1
Barrichello,Coulthard,3
Barrichello,Verstappen,1
R.Schumacher,Burti,1
Marquez,Button,2
Fisichella,Marquez,1
Alesi,Marquez,3
Burti,Marquez,2
Alonso,Marquez,2
R.Schumacher,Hakkinen,2
R.Schumacher,Verstappen,2
Hakkinen,Verstappen,1
Verstappen,Hakkinen,1
Frentzen,Hakkinen,1
Montoya,M.Schumacher,3
Panis,Alesi,2
Mazzacane,Button,1
Villeneuve,Frentzen,1
Frentzen,Villeneuve,1
Alonso,Button,1
Panis,Raikkonen,2
Panis,Frentzen,1
Villeneuve,Irvine,2
Villeneuve,Button,3
Villeneuve,Alonso,1
Irvine,Button,1
Villeneuve,Marquez,1
Burti,Verstappen,1
Alesi,Mazzacane,1
Panis,Fisichella,1
Coulthard,M.Schumacher,1
Trulli,Heidfeld,1
Villeneuve,Alesi,2
Heidfeld,Irvine,2
Verstappen,Burti,2
Verstappen,Fisichella,2
Mazzacane,Marquez,1
Barrichello,Panis,1
M.Schumacher,Panis,2
Bernoldi,Fisichella,2
De La Rosa,Alonso,2
Frentzen,Alonso,1
Coulthard,Marquez,2
Coulthard,Button,1
Coulthard,Fisichella,3
Coulthard,Panis,1
Coulthard,Heidfeld,1
Verstappen,Irvine,2
Raikkonen,Irvine,2
Verstappen,Coulthard,1
Panis,Irvine,3
Bernoldi,Irvine,2
Bernoldi,Villeneuve,2
Villeneuve,Burti,1
Villeneuve,De La Rosa,1
Alesi,Burti,2
M.Schumacher,Raikkonen,1
Alesi,De La Rosa,3
Montoya,Panis,1
De La Rosa,Button,1
Button,De La Rosa,1
Heidfeld,Button,1
Heidfeld,Alesi,1
Coulthard,Burti,1
Verstappen,Marquez,3
Verstappen,Alonso,2
Verstappen,Button,1
Coulthard,Alonso,1
Barrichello,Villeneuve,1
Barrichello,De La Rosa,1
Bernoldi,Marquez,2
Hakkinen,Zonta,1
Hakkinen,Raikkonen,1
De La Rosa,Trulli,1
Irvine,Frentzen,2
Irvine,Raikkonen,1
R.Schumacher,Coulthard,1
Irvine,Heidfeld,2
Alesi,Heidfeld,1
Burti,Button,1
Button,Fisichella,2
Irvine,Panis,1
Panis,Burti,1
Burti,Fisichella,1
Verstappen,Villeneuve,1
Hakkinen,M.Schumacher,1
Frentzen,Heidfeld,1
Heidfeld,Frentzen,1
Panis,Button,1
Panis,Zonta,1
Barrichello,M.Schumacher,1
Panis,Verstappen,1
Button,Bernoldi,1
Panis,Villeneuve,1
Button,Alonso,1
Hakkinen,Button,1
Montoya,R.Schumacher,1
Trulli,Button,2
Alesi,Button,2
Panis,Bernoldi,1
Hakkinen,R.Schumacher,1
R.Schumacher,Villeneuve,1
Fisichella,Yoong,1
Alesi,Irvine,2
Verstappen,De La Rosa,1
Raikkonen,De La Rosa,1
Heidfeld,Enge,1
Fisichella,Enge,1
Hakkinen,Irvine,1
Frentzen,Irvine,1
Villeneuve,Bernoldi,1
Alonso,Irvine,1
Fisichella,Irvine,2
Enge,Irvine,1
Barrichello,Montoya,3
Alesi,Raikkonen,1
Hakkinen,Bernoldi,1
Alesi,Verstappen,1
Raikkonen,Verstappen,1
Fisichella,Heidfeld,2
Enge,Bernoldi,1
Button,Trulli,1
Alesi,Fisichella,1
Frentzen,Panis,2
Heidfeld,R.Schumacher,1
R.Schumacher,Heidfeld,1
Frentzen,Button,1
De La Rosa,Fisichella,1
Button,Frentzen,1
Montoya,Barrichello,1
Bernoldi,Yoong,1
Panis,Alonso,1
Frentzen,Yoong,1
Frentzen,Verstappen,2
R.Schumacher,Barrichello,1
Frentzen,Enge,1
Coulthard,Hakkinen,1
Bernoldi,Verstappen,1
