Overtaker,Overtakee,Weight
Albon,Norris,6
Hamilton,Norris,1
Kvyat,Giovinazzi,7
Kvyat,Magnussen,7
Hamilton,Albon,2
Ocon,Giovinazzi,3
Raikkonen,Giovinazzi,4
Ocon,Magnussen,4
Perez,Norris,4
Vettel,Grosjean,6
Raikkonen,Russell,5
Albon,Perez,3
Albon,Hamilton,2
Sainz,Ocon,3
Giovinazzi,Latifi,2
Sainz,Gasly,3
Giovinazzi,Vettel,1
Leclerc,Norris,4
Giovinazzi,Kvyat,2
Albon,Latifi,5
Leclerc,Perez,3
Albon,Vettel,6
Vettel,Albon,2
Norris,Perez,2
Vettel,Kvyat,1
Sainz,Perez,3
Magnussen,Russell,2
Perez,Giovinazzi,4
Stroll,Norris,2
Perez,Kvyat,3
Bottas,Sainz,3
Perez,Magnussen,6
Grosjean,Latifi,2
Albon,Sainz,2
Giovinazzi,Magnussen,4
Raikkonen,Latifi,8
Grosjean,Magnussen,4
Raikkonen,Magnussen,11
Stroll,Gasly,1
Perez,Gasly,3
Raikkonen,Grosjean,5
Ricciardo,Ocon,2
Norris,Gasly,3
Magnussen,Grosjean,2
Gasly,Russell,3
Sainz,Grosjean,4
Stroll,Raikkonen,3
Stroll,Giovinazzi,2
Sainz,Raikkonen,5
Sainz,Giovinazzi,1
Perez,Sainz,3
Perez,Stroll,2
Kvyat,Gasly,2
Giovinazzi,Gasly,1
Perez,Ricciardo,2
Raikkonen,Gasly,2
Russell,Latifi,3
Gasly,Latifi,2
Bottas,Verstappen,2
Verstappen,Bottas,3
Magnussen,Giovinazzi,3
Grosjean,Giovinazzi,3
Stroll,Ricciardo,3
Norris,Ricciardo,3
Norris,Stroll,3
Ocon,Raikkonen,3
Ocon,Russell,3
Ocon,Norris,1
Ocon,Hamilton,1
Hamilton,Ocon,2
Grosjean,Stroll,1
Leclerc,Giovinazzi,3
Bottas,Giovinazzi,1
Albon,Ricciardo,2
Stroll,Grosjean,2
Bottas,Leclerc,3
Leclerc,Bottas,1
Bottas,Grosjean,2
Ocon,Gasly,2
Norris,Russell,5
Stroll,Magnussen,2
Bottas,Magnussen,2
Albon,Leclerc,4
Vettel,Leclerc,2
Albon,Grosjean,4
Perez,Grosjean,3
Vettel,Raikkonen,6
Russell,Ocon,2
Ricciardo,Grosjean,2
Albon,Magnussen,5
Ricciardo,Magnussen,4
Ocon,Grosjean,2
Norris,Grosjean,4
Giovinazzi,Russell,3
Sainz,Leclerc,4
Norris,Ocon,1
Giovinazzi,Albon,1
Ocon,Vettel,3
Russell,Raikkonen,6
Gasly,Giovinazzi,3
Latifi,Raikkonen,3
Gasly,Vettel,5
Albon,Raikkonen,3
Grosjean,Raikkonen,2
Albon,Giovinazzi,3
Albon,Russell,2
Ocon,Stroll,3
Ricciardo,Norris,1
Gasly,Stroll,3
Albon,Stroll,3
Sainz,Latifi,2
Vettel,Latifi,6
Gasly,Raikkonen,6
Hamilton,Leclerc,2
Latifi,Magnussen,8
Albon,Gasly,4
Kvyat,Raikkonen,3
Gasly,Grosjean,3
Kvyat,Ocon,1
Sainz,Ricciardo,5
Albon,Ocon,3
Ricciardo,Russell,1
Ricciardo,Raikkonen,4
Hamilton,Bottas,3
Kvyat,Ricciardo,1
Bottas,Stroll,1
Russell,Grosjean,3
Kvyat,Latifi,2
Kvyat,Grosjean,4
Sainz,Magnussen,2
Sainz,Albon,2
Leclerc,Kvyat,1
Gasly,Ocon,2
Stroll,Vettel,2
Sainz,Vettel,2
Giovinazzi,Grosjean,2
Gasly,Perez,4
Gasly,Leclerc,4
Perez,Leclerc,6
Russell,Magnussen,4
Norris,Leclerc,2
Kvyat,Leclerc,2
Raikkonen,Vettel,1
Ricciardo,Perez,2
Ricciardo,Gasly,3
Perez,Latifi,5
Perez,Vettel,2
Gasly,Magnussen,3
Perez,Raikkonen,4
Leclerc,Magnussen,5
Ocon,Albon,3
Leclerc,Grosjean,4
Stroll,Verstappen,1
Vettel,Russell,4
Verstappen,Stroll,1
Leclerc,Raikkonen,4
Norris,Latifi,3
Bottas,Latifi,2
Verstappen,Perez,1
Russell,Perez,1
Perez,Russell,3
Sainz,Stroll,2
Grosjean,Verstappen,1
Norris,Raikkonen,2
Bottas,Raikkonen,3
Hamilton,Russell,1
Hamilton,Grosjean,1
Hamilton,Latifi,1
Hamilton,Raikkonen,1
Hamilton,Perez,2
Hamilton,Kvyat,1
Stroll,Leclerc,3
Ricciardo,Leclerc,4
Bottas,Ricciardo,2
Norris,Albon,1
Russell,Norris,2
Hamilton,Vettel,1
Verstappen,Kvyat,1
Ricciardo,Vettel,2
Gasly,Albon,2
Gasly,Norris,2
Grosjean,Russell,1
Magnussen,Gasly,1
Russell,Vettel,2
Albon,Hulkenberg,1
Albon,Kvyat,2
Leclerc,Hulkenberg,1
Leclerc,Gasly,1
Hulkenberg,Latifi,1
Hulkenberg,Magnussen,1
Leclerc,Vettel,2
Hulkenberg,Raikkonen,1
Hulkenberg,Vettel,1
Hulkenberg,Grosjean,1
Vettel,Magnussen,2
Sainz,Bottas,3
Raikkonen,Leclerc,1
Stroll,Albon,1
Grosjean,Vettel,1
Latifi,Vettel,1
Verstappen,Norris,1
Leclerc,Ricciardo,1
Hamilton,Sainz,1
Verstappen,Sainz,1
Gasly,Ricciardo,2
Leclerc,Sainz,1
Vettel,Giovinazzi,3
Magnussen,Latifi,3
Gasly,Sainz,1
Raikkonen,Sainz,2
Perez,Ocon,2
Russell,Giovinazzi,4
Norris,Kvyat,1
Norris,Giovinazzi,1
Sainz,Norris,1
Kvyat,Albon,1
Perez,Albon,2
Kvyat,Perez,1
Bottas,Russell,3
Ocon,Latifi,2
Gasly,Kvyat,2
Leclerc,Ocon,1
Leclerc,Russell,2
Bottas,Ocon,2
Russell,Bottas,2
Norris,Magnussen,1
Russell,Gasly,2
Vettel,Stroll,2
Leclerc,Stroll,2
Leclerc,Albon,1
Leclerc,Verstappen,1
Gasly,Bottas,1
Verstappen,Albon,1
Bottas,Vettel,1
Ricciardo,Latifi,1
Ricciardo,Giovinazzi,1
Norris,Bottas,1
Bottas,Kvyat,1
Giovinazzi,Raikkonen,1
Ocon,Ricciardo,1
Perez,Fittipaldi,2
Norris,Vettel,1
Perez,Aitken,1
Raikkonen,Fittipaldi,1
Raikkonen,Aitken,1
Aitken,Raikkonen,1
Norris,Fittipaldi,1
Norris,Aitken,1
Magnussen,Raikkonen,2
Russell,Stroll,1
Ricciardo,Bottas,1
Albon,Bottas,1
Kvyat,Bottas,1
Aitken,Fittipaldi,1
Stroll,Kvyat,1
Ocon,Leclerc,1
Leclerc,Fittipaldi,1
Leclerc,Latifi,1
Fittipaldi,Magnussen,1
Giovinazzi,Fittipaldi,1
