Overtaker,Overtakee,Weight
Magnussen,Katayama,2
Barrichello,Fisichella,2
Katayama,Trulli,2
Katayama,Nakano,1
Frentzen,Barrichello,2
Irvine,Trulli,2
Diniz,Trulli,1
Larini,Trulli,3
Frentzen,Herbert,2
Nakano,Trulli,3
Berger,Hakkinen,2
Diniz,Irvine,2
Berger,M.Schumacher,1
Larini,Irvine,1
Larini,Diniz,1
Herbert,Verstappen,1
Herbert,Trulli,2
Coulthard,Trulli,1
Herbert,Nakano,1
Coulthard,Nakano,1
R.Schumacher,Nakano,2
R.Schumacher,Trulli,3
Fisichella,Larini,1
Fisichella,Trulli,2
Fisichella,Nakano,1
Hakkinen,Hill,1
Larini,Nakano,2
M.Schumacher,Hill,2
Alesi,Hill,2
Fisichella,Coulthard,1
Fisichella,Hill,1
Irvine,Nakano,3
Nakano,Irvine,1
Verstappen,Irvine,1
Coulthard,Hill,3
Fisichella,Frentzen,2
Berger,Salo,3
Barrichello,Larini,1
Barrichello,Nakano,2
R.Schumacher,Herbert,3
Barrichello,Salo,2
R.Schumacher,Hill,2
Herbert,Hill,2
Barrichello,Berger,1
Magnussen,Larini,1
Magnussen,Nakano,2
Barrichello,Trulli,1
Herbert,R.Schumacher,1
Berger,Trulli,1
Salo,Trulli,3
Berger,Katayama,2
Magnussen,Trulli,3
Magnussen,Salo,2
Salo,Katayama,1
Larini,Katayama,2
Trulli,Katayama,1
Nakano,Katayama,2
Larini,Salo,2
Hakkinen,Diniz,1
Alesi,Diniz,1
Berger,Hill,3
Berger,Diniz,2
Hill,Diniz,2
Berger,Alesi,1
Hill,Katayama,2
Larini,Barrichello,1
Irvine,Panis,1
Fisichella,Panis,1
Fisichella,Irvine,2
Barrichello,Frentzen,2
Herbert,Frentzen,2
Coulthard,Frentzen,2
Panis,Frentzen,1
Salo,Berger,1
Magnussen,Verstappen,2
Irvine,Alesi,1
Alesi,Villeneuve,1
Salo,Alesi,1
Irvine,Villeneuve,2
Salo,Villeneuve,1
Berger,Villeneuve,1
Magnussen,Villeneuve,1
Verstappen,Villeneuve,1
Irvine,Frentzen,1
Salo,Frentzen,1
Alesi,Frentzen,1
R.Schumacher,Fisichella,1
Frentzen,Trulli,2
Frentzen,Nakano,2
Frentzen,Katayama,2
Villeneuve,Nakano,1
Katayama,Frentzen,1
Panis,Fisichella,2
Irvine,Fisichella,1
Magnussen,Fisichella,1
R.Schumacher,Diniz,1
R.Schumacher,Katayama,2
R.Schumacher,Morbidelli,1
R.Schumacher,Barrichello,2
R.Schumacher,Verstappen,1
Hill,Salo,2
Irvine,Salo,3
Panis,Salo,2
Fisichella,Berger,1
Magnussen,Diniz,2
Coulthard,M.Schumacher,1
Morbidelli,Salo,3
Morbidelli,Trulli,2
Alesi,Hakkinen,1
M.Schumacher,Hakkinen,1
Barrichello,Verstappen,2
Irvine,Diniz,3
Irvine,Verstappen,1
Panis,Coulthard,1
Herbert,Coulthard,2
Frentzen,Fisichella,1
Wurz,Barrichello,1
Morbidelli,Katayama,1
R.Schumacher,Frentzen,1
Panis,Nakano,2
Panis,Trulli,1
Verstappen,Barrichello,1
Panis,Morbidelli,1
Salo,Barrichello,1
Herbert,Barrichello,1
Frentzen,Hill,2
Frentzen,Morbidelli,1
Frentzen,Diniz,2
Frentzen,Verstappen,2
Panis,Hill,1
Frentzen,Wurz,1
Katayama,Fontana,1
Wurz,Fisichella,1
Villeneuve,R.Schumacher,1
Villeneuve,Coulthard,2
R.Schumacher,Villeneuve,1
Fisichella,Wurz,1
Fontana,Salo,3
Fisichella,Alesi,3
Hill,Marques,1
Magnussen,Marques,1
Trulli,Marques,1
Fontana,Marques,1
Barrichello,Marques,1
Hakkinen,Coulthard,1
Nakano,Fisichella,2
Nakano,Salo,1
Diniz,Magnussen,2
Hill,Herbert,1
Hill,Verstappen,1
Katayama,Verstappen,2
Magnussen,Hill,1
Magnussen,Fontana,1
Hill,Fontana,1
Berger,Fisichella,1
Hakkinen,Irvine,1
Villeneuve,Irvine,1
Frentzen,Irvine,2
Hill,M.Schumacher,1
Irvine,Marques,1
Villeneuve,M.Schumacher,2
Irvine,Katayama,1
Irvine,Berger,1
Trulli,Alesi,1
Barrichello,Alesi,1
R.Schumacher,Alesi,1
Katayama,Salo,2
Diniz,Verstappen,1
Berger,Verstappen,2
Magnussen,Irvine,1
Marques,Verstappen,1
M.Schumacher,Villeneuve,2
M.Schumacher,Alesi,1
Magnussen,Berger,1
Marques,Katayama,2
Marques,Salo,1
Coulthard,Diniz,1
Magnussen,Morbidelli,2
Marques,Irvine,1
Verstappen,Salo,1
Diniz,Frentzen,1
Hill,Frentzen,1
Berger,Morbidelli,1
Verstappen,Marques,1
Verstappen,Katayama,1
Villeneuve,Katayama,1
Alesi,Marques,1
Irvine,R.Schumacher,1
Diniz,Coulthard,1
Alesi,Fisichella,1
Alesi,Magnussen,1
Frentzen,Berger,1
Villeneuve,Diniz,1
Salo,Morbidelli,1
Verstappen,Hill,1
Villeneuve,Hill,1
Salo,Irvine,1
Diniz,Hill,1
Irvine,Hill,1
Salo,Hill,1
Frentzen,Coulthard,1
R.Schumacher,Marques,1
Villeneuve,Verstappen,1
Morbidelli,Magnussen,1
Villeneuve,Alesi,1
Berger,Irvine,3
Katayama,Marques,1
Irvine,Coulthard,1
Hakkinen,Nakano,1
Hakkinen,Trulli,1
Diniz,Morbidelli,1
Salo,Verstappen,1
Alesi,Irvine,1
Herbert,Irvine,1
Villeneuve,Barrichello,1
Morbidelli,Irvine,1
Irvine,Morbidelli,1
M.Schumacher,Frentzen,1
Diniz,Nakano,1
Magnussen,Herbert,1
Morbidelli,Verstappen,1
Berger,Frentzen,1
Berger,Panis,1
Frentzen,Panis,1
Alesi,Panis,2
Irvine,M.Schumacher,1
Irvine,Hakkinen,1
Alesi,Berger,1
Nakano,Diniz,1
Panis,R.Schumacher,1
Nakano,Marques,1
Alesi,R.Schumacher,1
Panis,Diniz,2
Fontana,Katayama,1
Panis,Alesi,1
Fontana,Verstappen,1
Coulthard,Villeneuve,2
Hakkinen,Villeneuve,1
