Overtaker,Overtakee,Weight
Bottas,Stroll,3
Ricciardo,Hulkenberg,4
Bottas,Ocon,2
Leclerc,Stroll,8
Bottas,Vandoorne,3
Verstappen,Hamilton,5
Leclerc,Grosjean,2
Grosjean,Leclerc,5
Hulkenberg,Ocon,3
Magnussen,Gasly,2
Gasly,Magnussen,3
Hamilton,Hulkenberg,3
Hamilton,Ocon,3
Hamilton,Alonso,3
Alonso,Ocon,2
Grosjean,Stroll,4
Vandoorne,Stroll,6
Perez,Sirotkin,11
Hamilton,Magnussen,3
Vandoorne,Grosjean,5
Perez,Stroll,11
Hamilton,Gasly,2
Vandoorne,Perez,1
Magnussen,Leclerc,1
Magnussen,Sirotkin,3
Hulkenberg,Sirotkin,4
Hulkenberg,Leclerc,4
Alonso,Leclerc,5
Alonso,Sirotkin,8
Ocon,Perez,2
Gasly,Grosjean,1
Vandoorne,Leclerc,3
Ocon,Leclerc,3
Gasly,Ericsson,3
Vandoorne,Sirotkin,5
Ocon,Sirotkin,11
Perez,Leclerc,5
Sainz,Leclerc,4
Sainz,Sirotkin,9
Grosjean,Sirotkin,10
Leclerc,Sirotkin,3
Hartley,Stroll,5
Magnussen,Ericsson,3
Grosjean,Sainz,3
Vettel,Hamilton,3
Grosjean,Perez,2
Ericsson,Leclerc,2
Magnussen,Perez,3
Hartley,Leclerc,2
Sainz,Stroll,5
Ericsson,Perez,1
Magnussen,Ocon,3
Vandoorne,Hartley,2
Hulkenberg,Ericsson,5
Alonso,Ericsson,1
Sainz,Grosjean,3
Ocon,Grosjean,4
Vandoorne,Ericsson,5
Ocon,Sainz,4
Leclerc,Hartley,6
Gasly,Hartley,4
Ocon,Stroll,5
Sainz,Ericsson,9
Hulkenberg,Gasly,4
Ocon,Ericsson,4
Sainz,Gasly,4
Ocon,Gasly,4
Perez,Ericsson,9
Grosjean,Gasly,2
Ricciardo,Magnussen,2
Perez,Gasly,6
Hulkenberg,Vandoorne,2
Hulkenberg,Stroll,4
Bottas,Raikkonen,3
Stroll,Ericsson,2
Magnussen,Sainz,3
Hulkenberg,Magnussen,3
Alonso,Grosjean,1
Ocon,Vandoorne,2
Perez,Vandoorne,4
Gasly,Stroll,4
Stroll,Gasly,2
Ricciardo,Raikkonen,3
Ricciardo,Hamilton,1
Ricciardo,Vettel,3
Hulkenberg,Vettel,1
Ricciardo,Bottas,4
Perez,Grosjean,5
Alonso,Magnussen,5
Sainz,Magnussen,2
Grosjean,Hartley,5
Alonso,Vettel,1
Verstappen,Ricciardo,2
Sainz,Ricciardo,1
Gasly,Hulkenberg,1
Stroll,Hulkenberg,2
Raikkonen,Vandoorne,1
Perez,Magnussen,4
Grosjean,Vandoorne,4
Perez,Hartley,3
Leclerc,Gasly,5
Alonso,Hartley,4
Ericsson,Magnussen,2
Sainz,Verstappen,1
Hulkenberg,Verstappen,1
Hulkenberg,Ricciardo,1
Raikkonen,Gasly,3
Alonso,Vandoorne,3
Alonso,Gasly,3
Ericsson,Hartley,3
Verstappen,Sainz,4
Raikkonen,Stroll,1
Raikkonen,Leclerc,3
Sainz,Alonso,1
Leclerc,Alonso,4
Ricciardo,Verstappen,2
Raikkonen,Vettel,3
Leclerc,Sainz,2
Alonso,Stroll,7
Vandoorne,Gasly,4
Perez,Vettel,1
Hartley,Gasly,3
Stroll,Alonso,1
Ericsson,Gasly,5
Sirotkin,Hartley,1
Vettel,Magnussen,6
Bottas,Magnussen,3
Hartley,Ericsson,4
Verstappen,Ericsson,2
Verstappen,Stroll,1
Verstappen,Leclerc,2
Gasly,Perez,1
Gasly,Sirotkin,7
Hulkenberg,Grosjean,4
Vettel,Sirotkin,6
Vettel,Alonso,2
Bottas,Sirotkin,2
Vettel,Hartley,3
Vettel,Stroll,4
Raikkonen,Magnussen,3
Vettel,Ericsson,3
Bottas,Hartley,2
Ricciardo,Sainz,4
Vettel,Vandoorne,4
Bottas,Ericsson,2
Raikkonen,Sainz,4
Vettel,Hulkenberg,5
Vettel,Perez,6
Vettel,Grosjean,4
Hulkenberg,Perez,2
Bottas,Perez,2
Vettel,Leclerc,5
Bottas,Grosjean,2
Vettel,Sainz,4
Bottas,Leclerc,2
Sainz,Hartley,6
Magnussen,Hartley,2
Bottas,Hulkenberg,1
Sainz,Vandoorne,2
Magnussen,Vandoorne,1
Grosjean,Alonso,2
Vandoorne,Alonso,3
Raikkonen,Ricciardo,2
Ericsson,Sirotkin,8
Ericsson,Stroll,1
Hartley,Sirotkin,5
Sirotkin,Ericsson,4
Perez,Sainz,4
Leclerc,Ericsson,2
Hamilton,Vandoorne,1
Hamilton,Sirotkin,1
Hamilton,Ericsson,1
Hamilton,Grosjean,3
Hamilton,Sainz,2
Hamilton,Leclerc,3
Raikkonen,Ocon,2
Raikkonen,Hulkenberg,1
Raikkonen,Verstappen,2
Verstappen,Raikkonen,3
Magnussen,Alonso,2
Stroll,Sirotkin,2
Vettel,Bottas,4
Hamilton,Bottas,1
Raikkonen,Bottas,2
Ricciardo,Gasly,5
Ricciardo,Hartley,3
Ricciardo,Stroll,3
Ricciardo,Sirotkin,3
Hamilton,Perez,1
Ricciardo,Ericsson,3
Ricciardo,Ocon,3
Ricciardo,Alonso,3
Gasly,Vandoorne,3
Ricciardo,Leclerc,4
Leclerc,Vandoorne,3
Ericsson,Ocon,1
Grosjean,Ericsson,2
Hulkenberg,Alonso,1
Stroll,Hartley,1
Stroll,Leclerc,1
Sirotkin,Leclerc,1
Grosjean,Magnussen,1
Gasly,Leclerc,3
Grosjean,Ocon,2
Ricciardo,Perez,2
Ricciardo,Vandoorne,3
Ricciardo,Grosjean,4
Bottas,Gasly,2
Verstappen,Ocon,7
Bottas,Sainz,1
Verstappen,Perez,4
Hamilton,Verstappen,2
Sirotkin,Vandoorne,2
Stroll,Vandoorne,1
Hamilton,Raikkonen,3
Raikkonen,Hamilton,1
Perez,Alonso,1
Vettel,Ricciardo,2
Vettel,Gasly,2
Vettel,Ocon,4
Sainz,Hulkenberg,2
Leclerc,Magnussen,3
Verstappen,Hulkenberg,2
Verstappen,Grosjean,2
Verstappen,Magnussen,1
Hulkenberg,Sainz,2
Ericsson,Grosjean,2
Hamilton,Vettel,1
Ericsson,Sainz,2
Grosjean,Hulkenberg,1
Vandoorne,Sainz,1
Ericsson,Vandoorne,2
Hartley,Alonso,1
Raikkonen,Perez,1
Raikkonen,Grosjean,1
Leclerc,Hulkenberg,1
Perez,Hulkenberg,1
Ocon,Hulkenberg,1
Hulkenberg,Hartley,1
Verstappen,Vettel,2
Magnussen,Stroll,2
Leclerc,Ocon,1
Gasly,Ocon,1
Ocon,Hartley,3
Sirotkin,Magnussen,1
Verstappen,Bottas,2
Ocon,Alonso,1
Leclerc,Perez,1
Sainz,Ocon,1
Sirotkin,Alonso,1
Ocon,Verstappen,2
