Overtaker,Overtakee,Weight
Montoya,R.Schumacher,1
Heidfeld,Fisichella,1
Bruni,Pantano,1
Klien,Pantano,3
Klien,Bruni,1
Massa,Raikkonen,2
Montoya,Trulli,3
Fisichella,Heidfeld,2
Montoya,Button,3
Panis,Pantano,2
Montoya,Barrichello,2
Raikkonen,Barrichello,1
Button,Trulli,2
Massa,Sato,4
Heidfeld,Sato,1
Da Matta,Sato,1
Klien,Sato,1
Panis,Bruni,4
Bruni,Fisichella,1
Panis,Fisichella,1
Baumgartner,Fisichella,1
Trulli,Button,2
Webber,R.Schumacher,1
Alonso,R.Schumacher,2
Fisichella,Bruni,2
Fisichella,Baumgartner,2
Alonso,Webber,2
Fisichella,Panis,3
Sato,Bruni,1
Webber,Baumgartner,2
Webber,Bruni,1
Alonso,Coulthard,1
R.Schumacher,Trulli,1
Webber,Coulthard,2
Da Matta,Panis,1
Klien,Raikkonen,2
Raikkonen,Klien,2
Trulli,Sato,1
Coulthard,Panis,3
Webber,Panis,1
Trulli,Heidfeld,1
Klien,Massa,1
Sato,Heidfeld,4
Button,Heidfeld,1
Button,Sato,2
Alonso,Massa,2
R.Schumacher,Massa,2
R.Schumacher,Da Matta,1
Sato,Coulthard,2
Button,Montoya,3
Massa,Panis,4
Alonso,Button,2
Coulthard,Baumgartner,4
Coulthard,Klien,2
Massa,Webber,1
Raikkonen,Fisichella,3
Button,Da Matta,3
Alonso,Pantano,2
R.Schumacher,Panis,1
Montoya,Massa,3
Button,Klien,3
R.Schumacher,Fisichella,3
R.Schumacher,Baumgartner,1
R.Schumacher,Bruni,1
Montoya,Heidfeld,2
Massa,Baumgartner,3
Massa,Bruni,3
Montoya,Baumgartner,2
Montoya,Bruni,1
Button,Coulthard,1
Heidfeld,Klien,1
Montoya,Panis,1
Montoya,Klien,1
Massa,Klien,5
Heidfeld,Panis,2
Sato,Barrichello,1
Sato,Klien,1
Sato,Baumgartner,1
Fisichella,Glock,4
Coulthard,Glock,2
Barrichello,Raikkonen,2
Bruni,Baumgartner,2
Raikkonen,Heidfeld,3
Massa,Da Matta,1
Sato,Da Matta,1
Sato,Panis,2
Coulthard,Da Matta,1
Schumacher,Barrichello,2
Coulthard,Webber,2
Sato,Webber,2
Sato,Fisichella,2
Raikkonen,Webber,2
Raikkonen,Coulthard,3
Webber,Raikkonen,1
Sato,Trulli,2
Panis,Baumgartner,3
Fisichella,Pantano,2
Barrichello,Sato,1
Gene,Heidfeld,1
Da Matta,Heidfeld,1
Webber,Fisichella,2
Massa,Montoya,2
Raikkonen,Montoya,1
Raikkonen,Massa,2
Heidfeld,Pantano,2
Fisichella,Da Matta,1
Barrichello,Button,1
Barrichello,Trulli,2
Montoya,Sato,1
Alonso,Da Matta,1
Alonso,Panis,1
Gene,Panis,1
Coulthard,Pantano,2
Raikkonen,Sato,1
Webber,Sato,1
Baumgartner,Bruni,1
Alonso,Klien,2
Raikkonen,Alonso,1
Montoya,Webber,2
Barrichello,Bruni,1
Panis,Heidfeld,1
Barrichello,Baumgartner,2
Coulthard,Trulli,4
Barrichello,Da Matta,1
Sato,Pizzonia,1
Barrichello,Heidfeld,2
Sato,Massa,2
Webber,Trulli,2
Pizzonia,Massa,1
Barrichello,Massa,1
Da Matta,Massa,1
Trulli,Massa,1
Barrichello,Klien,1
Montoya,Alonso,1
Alonso,Montoya,1
Barrichello,Fisichella,2
Button,Alonso,3
Pizzonia,Sato,1
Zonta,Bruni,2
Massa,Pantano,3
Pantano,Massa,1
Raikkonen,Schumacher,1
Montoya,Schumacher,1
Button,Zonta,1
Massa,Heidfeld,2
Heidfeld,Baumgartner,2
