Overtaker,Overtakee,Weight
Alonso,Villeneuve,4
Villeneuve,Alonso,1
Alonso,Trulli,1
Button,Trulli,1
R.Schumacher,Villeneuve,3
R.Schumacher,Sato,1
Button,Raikkonen,1
Friesacher,Albers,1
Monteiro,Albers,2
R.Schumacher,Webber,1
Webber,R.Schumacher,2
Heidfeld,R.Schumacher,2
R.Schumacher,Heidfeld,2
Coulthard,Barrichello,3
Klien,Barrichello,3
Webber,Fisichella,1
Raikkonen,Massa,3
Sato,De la Rosa,1
Sato,Button,1
Barrichello,Button,3
Barrichello,Massa,3
Friesacher,Monteiro,1
De La Rosa,Button,1
De La Rosa,Barrichello,1
Massa,R.Schumacher,2
Button,Barrichello,4
Massa,Barrichello,1
De La Rosa,Webber,1
Massa,Monteiro,1
Massa,Karthikeyan,4
Sato,Webber,1
Liuzzi,Villeneuve,1
Villeneuve,Liuzzi,1
Villeneuve,Webber,1
Massa,Coulthard,1
Schumacher,Button,2
Montoya,Schumacher,1
Monteiro,Karthikeyan,3
Heidfeld,Webber,1
Fisichella,Webber,2
R.Schumacher,Monteiro,2
R.Schumacher,Albers,3
R.Schumacher,Friesacher,2
Barrichello,Liuzzi,2
Montoya,Massa,1
Trulli,Fisichella,2
Montoya,Fisichella,1
R.Schumacher,Fisichella,1
Barrichello,Fisichella,1
Schumacher,Fisichella,1
Heidfeld,Alonso,1
Massa,Fisichella,1
Webber,Alonso,1
Villeneuve,Fisichella,1
Schumacher,Barrichello,1
Montoya,Monteiro,1
Montoya,Karthikeyan,1
Schumacher,Karthikeyan,1
Montoya,Villeneuve,1
Schumacher,Villeneuve,1
Fisichella,Albers,1
Schumacher,Monteiro,1
Fisichella,Friesacher,1
Fisichella,Karthikeyan,1
Fisichella,Villeneuve,1
Fisichella,Monteiro,1
Montoya,Button,1
Albers,Friesacher,1
Villeneuve,Karthikeyan,3
Sato,Friesacher,3
Sato,Albers,4
Fisichella,Button,2
Heidfeld,Raikkonen,1
Trulli,Massa,2
R.Schumacher,Coulthard,1
Karthikeyan,Friesacher,1
Barrichello,Friesacher,1
Barrichello,Karthikeyan,2
Monteiro,Friesacher,1
Barrichello,Albers,3
Villeneuve,Friesacher,1
Massa,Webber,2
Barrichello,Webber,1
Raikkonen,Villeneuve,3
Sato,Barrichello,1
Klien,Friesacher,1
Villeneuve,Coulthard,1
Klien,Coulthard,1
Raikkonen,Alonso,2
Coulthard,Webber,2
Sato,Monteiro,2
Montoya,R.Schumacher,1
Montoya,Klien,1
Trulli,Albers,2
Villeneuve,Albers,2
Fisichella,R.Schumacher,1
Coulthard,R.Schumacher,1
Trulli,Sato,1
Button,Schumacher,2
Karthikeyan,Albers,2
Trulli,Heidfeld,2
Heidfeld,Trulli,1
Fisichella,Schumacher,2
Barrichello,Doornbos,1
Alonso,Doornbos,1
Alonso,Albers,1
Alonso,Karthikeyan,1
Barrichello,Villeneuve,1
Alonso,Massa,1
Alonso,Fisichella,1
Sato,R.Schumacher,1
Webber,Coulthard,2
Sato,Doornbos,2
R.Schumacher,Doornbos,1
Sato,Villeneuve,1
Webber,Klien,1
Sato,Karthikeyan,2
R.Schumacher,Karthikeyan,1
Albers,Karthikeyan,1
Button,Coulthard,1
Heidfeld,Doornbos,1
Doornbos,Karthikeyan,2
Heidfeld,Karthikeyan,2
Button,Klien,1
Villeneuve,Monteiro,2
Heidfeld,Albers,1
Heidfeld,Monteiro,1
Button,Alonso,1
Fisichella,Trulli,1
Barrichello,Trulli,1
Raikkonen,Trulli,2
Pizzonia,Barrichello,1
Fisichella,Coulthard,1
R.Schumacher,Button,1
Fisichella,Massa,1
Webber,Karthikeyan,1
Button,Karthikeyan,1
Coulthard,Karthikeyan,1
Webber,Monteiro,1
Pizzonia,Karthikeyan,1
Button,Monteiro,1
Button,Villeneuve,1
Barrichello,R.Schumacher,1
Monteiro,Villeneuve,1
R.Schumacher,Klien,1
Pizzonia,Villeneuve,1
Trulli,Villeneuve,1
Karthikeyan,Massa,1
R.Schumacher,Massa,1
Klien,Massa,2
Monteiro,Massa,1
Klien,Karthikeyan,1
Button,Webber,1
Massa,Klien,1
Montoya,Alonso,1
Trulli,Karthikeyan,1
Villeneuve,Doornbos,1
Schumacher,Klien,1
Raikkonen,Pizzonia,1
Alonso,Klien,1
Raikkonen,Klien,1
Alonso,Schumacher,2
Alonso,Coulthard,1
Raikkonen,Schumacher,1
Alonso,Button,1
Alonso,Webber,1
Raikkonen,Fisichella,1
Karthikeyan,Sato,1
Doornbos,Villeneuve,1
Doornbos,Sato,1
Doornbos,Pizzonia,1
Coulthard,Monteiro,1
Pizzonia,Doornbos,1
Villeneuve,Trulli,1
Webber,Barrichello,1
Pizzonia,Trulli,1
Pizzonia,Monteiro,1
