Overtaker,Overtakee,Weight
Montoya,Heidfeld,1
Wilson,Panis,1
Raikkonen,Pizzonia,1
Frentzen,Heidfeld,4
Alonso,Villeneuve,3
Villeneuve,Button,2
Alonso,Button,2
Panis,Wilson,2
Alonso,Heidfeld,2
Trulli,Button,2
R.Schumacher,Wilson,7
Webber,Wilson,3
Coulthard,Verstappen,3
Alonso,Frentzen,2
Trulli,Heidfeld,2
R.Schumacher,Heidfeld,2
R.Schumacher,Panis,4
Webber,Panis,1
Firman,Wilson,3
Raikkonen,Wilson,2
Fisichella,Pizzonia,1
Webber,Heidfeld,3
Panis,Heidfeld,2
Firman,Heidfeld,1
Raikkonen,Heidfeld,2
Fisichella,Wilson,1
Pizzonia,Wilson,2
Da Matta,Wilson,2
Villeneuve,Verstappen,6
Fisichella,Heidfeld,1
Pizzonia,Heidfeld,1
Da Matta,Heidfeld,1
Coulthard,Heidfeld,2
Coulthard,Wilson,1
Button,Frentzen,3
Raikkonen,Webber,2
Schumacher,Webber,4
Button,Panis,1
Wilson,Heidfeld,1
Wilson,Pizzonia,1
Montoya,Panis,2
Alonso,Pizzonia,1
R.Schumacher,Pizzonia,1
Villeneuve,Panis,1
Villeneuve,Pizzonia,1
Schumacher,Coulthard,2
Villeneuve,Frentzen,1
Alonso,Trulli,3
Schumacher,Firman,2
Trulli,Firman,3
Barrichello,Button,2
Panis,Button,1
Trulli,Wilson,2
Trulli,Webber,2
Barrichello,Heidfeld,2
Panis,Firman,2
Montoya,Verstappen,1
Firman,Trulli,2
Schumacher,Button,4
Schumacher,Trulli,4
Frentzen,Firman,2
Coulthard,Barrichello,2
Montoya,Trulli,4
Montoya,R.Schumacher,3
Montoya,Schumacher,3
Wilson,Da Matta,1
Frentzen,Verstappen,2
Raikkonen,Barrichello,2
Montoya,Barrichello,1
Montoya,Webber,3
R.Schumacher,Trulli,1
Pizzonia,Verstappen,2
Raikkonen,Coulthard,3
Montoya,Coulthard,3
Webber,Barrichello,1
Schumacher,Barrichello,1
Schumacher,R.Schumacher,2
Pizzonia,Frentzen,1
R.Schumacher,Villeneuve,2
Coulthard,Montoya,1
Schumacher,Montoya,1
Barrichello,Webber,1
Barrichello,Da Matta,1
Webber,Frentzen,3
R.Schumacher,Verstappen,3
Montoya,Da Matta,1
R.Schumacher,Button,4
Alonso,Fisichella,1
R.Schumacher,Webber,4
Alonso,Verstappen,1
R.Schumacher,Barrichello,1
Barrichello,R.Schumacher,3
Raikkonen,Verstappen,1
Raikkonen,Fisichella,1
Da Matta,Frentzen,1
Frentzen,Da Matta,1
Webber,Villeneuve,1
Da Matta,Villeneuve,2
Raikkonen,R.Schumacher,1
Raikkonen,Alonso,1
Villeneuve,Da Matta,1
Alonso,R.Schumacher,2
Barrichello,Coulthard,2
Frentzen,Trulli,1
Fisichella,Raikkonen,1
Fisichella,Da Matta,1
Montoya,Button,1
Panis,Verstappen,3
Coulthard,Firman,1
Coulthard,Frentzen,2
Webber,Verstappen,1
Panis,Fisichella,2
Panis,Frentzen,2
Firman,Fisichella,1
Verstappen,Wilson,2
Button,Wilson,3
Button,Fisichella,3
Barrichello,Montoya,1
Firman,Coulthard,1
Webber,Alonso,1
Firman,Pizzonia,1
Webber,Pizzonia,1
Webber,Trulli,1
Pizzonia,Da Matta,1
Webber,Firman,2
Villeneuve,Fisichella,1
Coulthard,Fisichella,1
Schumacher,Raikkonen,2
Villeneuve,Heidfeld,1
Pizzonia,Fisichella,1
Heidfeld,Verstappen,2
Fisichella,Button,1
Barrichello,Firman,3
Montoya,Alonso,2
Coulthard,Da Matta,2
Heidfeld,Wilson,3
Webber,Coulthard,1
Villeneuve,Wilson,2
Wilson,Verstappen,2
Panis,Webber,1
Barrichello,Wilson,1
Wilson,Firman,1
Barrichello,Fisichella,1
Barrichello,Frentzen,1
Barrichello,Verstappen,1
Frentzen,Wilson,2
Firman,Verstappen,2
Da Matta,Verstappen,2
Barrichello,Raikkonen,2
Raikkonen,Trulli,1
Montoya,Villeneuve,1
Montoya,Pizzonia,1
Raikkonen,Panis,1
Montoya,Firman,1
Pizzonia,Villeneuve,1
Button,Heidfeld,2
Pizzonia,Webber,1
Button,Schumacher,1
Pizzonia,Firman,1
Barrichello,Trulli,1
Alonso,Firman,1
R.Schumacher,Frentzen,3
Barrichello,Panis,1
Schumacher,Villeneuve,1
R.Schumacher,Fisichella,3
Montoya,Raikkonen,1
Coulthard,Trulli,4
Coulthard,Webber,1
Da Matta,Webber,1
Panis,Villeneuve,2
Trulli,Coulthard,2
R.Schumacher,Baumgartner,1
Button,Baumgartner,1
Kiesa,Baumgartner,1
Trulli,Barrichello,1
Baumgartner,Kiesa,1
Wilson,Fisichella,1
Button,Verstappen,1
Wilson,Baumgartner,1
Fisichella,Baumgartner,1
R.Schumacher,Coulthard,1
Da Matta,Kiesa,1
R.Schumacher,Schumacher,1
Gene,Panis,1
Frentzen,Baumgartner,1
Frentzen,Kiesa,1
Heidfeld,Baumgartner,1
Schumacher,Panis,2
Alonso,Coulthard,3
Coulthard,Alonso,1
Wilson,Frentzen,1
Coulthard,Schumacher,1
Alonso,Schumacher,1
Heidfeld,Button,1
Webber,Button,1
Panis,Kiesa,1
Wilson,Button,1
Raikkonen,Button,1
Button,Coulthard,1
Frentzen,Coulthard,1
Wilson,Coulthard,1
Heidfeld,Coulthard,1
Schumacher,Wilson,2
Schumacher,Alonso,1
Fisichella,Coulthard,1
Alonso,Wilson,1
Da Matta,Coulthard,1
Verstappen,Coulthard,1
Schumacher,Frentzen,1
Heidfeld,Alonso,1
Raikkonen,Frentzen,1
Montoya,Fisichella,1
Sato,Wilson,1
R.Schumacher,Kiesa,1
Sato,Webber,1
R.Schumacher,Firman,1
Schumacher,Verstappen,1
Da Matta,Firman,1
Schumacher,Heidfeld,1
