Overtaker,Overtakee,Weight
Schumacher,Irvine,2
Berger,Frentzen,1
Katayama,Fisichella,2
Coulthard,Lamy,2
Rosset,Lamy,2
Salo,Frentzen,1
Diniz,Fisichella,1
Villeneuve,Hill,1
Hill,Villeneuve,1
Verstappen,Frentzen,1
Verstappen,Brundle,3
Salo,Berger,1
Herbert,Montermini,1
Frentzen,Brundle,2
Brundle,Verstappen,1
Frentzen,Verstappen,2
Hakkinen,Irvine,1
Panis,Badoer,1
Diniz,Badoer,2
Herbert,Badoer,1
Hakkinen,Berger,1
Barrichello,Alesi,4
Alesi,Barrichello,3
Katayama,Montermini,1
Hakkinen,Salo,5
Lamy,Montermini,1
Katayama,Badoer,1
Panis,Rosset,2
Irvine,Berger,3
Katayama,Herbert,1
Badoer,Montermini,1
Brundle,Irvine,2
Panis,Irvine,1
Schumacher,Brundle,1
Diniz,Lamy,1
Salo,Hakkinen,2
Katayama,Lamy,2
Barrichello,Schumacher,1
Schumacher,Barrichello,1
Lamy,Badoer,1
Diniz,Montermini,1
Villeneuve,Hakkinen,1
Villeneuve,Verstappen,1
Rosset,Montermini,1
Villeneuve,Barrichello,2
Marques,Panis,1
Rosset,Badoer,1
Villeneuve,Coulthard,1
Montermini,Badoer,1
Rosset,Salo,1
Katayama,Brundle,1
Herbert,Brundle,1
Marques,Rosset,1
Verstappen,Irvine,2
Herbert,Lamy,1
Panis,Lamy,3
Brundle,Marques,1
Alesi,Schumacher,1
Irvine,Coulthard,1
Verstappen,Panis,2
Verstappen,Coulthard,1
Alesi,Verstappen,1
Herbert,Irvine,1
Hill,Schumacher,1
Salo,Lamy,1
Salo,Diniz,1
Schumacher,Coulthard,1
Hill,Herbert,2
Berger,Lamy,3
Berger,Rosset,2
Hill,Brundle,2
Hill,Verstappen,1
Hakkinen,Frentzen,1
Hill,Hakkinen,1
Herbert,Salo,1
Hill,Barrichello,1
Berger,Salo,3
Katayama,Rosset,2
Schumacher,Hill,1
Villeneuve,Panis,2
Hakkinen,Diniz,1
Alesi,Panis,1
Panis,Brundle,1
Panis,Hakkinen,1
Panis,Herbert,5
Hill,Alesi,2
Verstappen,Diniz,2
Schumacher,Berger,1
Schumacher,Alesi,1
Schumacher,Villeneuve,3
Schumacher,Fisichella,1
Herbert,Panis,1
Salo,Panis,1
Schumacher,Diniz,1
Berger,Hakkinen,2
Barrichello,Frentzen,1
Panis,Salo,3
Brundle,Hakkinen,1
Panis,Verstappen,2
Barrichello,Hakkinen,1
Panis,Schumacher,1
Brundle,Herbert,2
Irvine,Herbert,1
Barrichello,Herbert,2
Salo,Rosset,1
Villeneuve,Alesi,3
Panis,Barrichello,1
Panis,Coulthard,1
Diniz,Katayama,1
Panis,Katayama,2
Panis,Diniz,1
Rosset,Fisichella,1
Herbert,Frentzen,1
Brundle,Frentzen,1
Panis,Fisichella,1
Herbert,Diniz,1
Irvine,Diniz,1
Coulthard,Brundle,1
Villeneuve,Schumacher,2
Brundle,Lamy,1
Brundle,Rosset,1
Lamy,Lavaggi,1
Berger,Irvine,2
Berger,Alesi,1
Verstappen,Katayama,1
Alesi,Villeneuve,1
Hill,Lamy,1
Hill,Diniz,1
Rosset,Diniz,1
Hill,Katayama,1
Berger,Diniz,2
Hill,Salo,1
Berger,Coulthard,1
Berger,Brundle,2
Lavaggi,Lamy,1
Hakkinen,Lamy,1
Irvine,Villeneuve,1
Hakkinen,Rosset,1
Diniz,Verstappen,1
Hakkinen,Verstappen,1
Diniz,Herbert,1
Hakkinen,Herbert,1
Katayama,Salo,1
Berger,Katayama,1
Berger,Verstappen,1
Coulthard,Rosset,1
Coulthard,Salo,1
Villeneuve,Irvine,1
Berger,Herbert,1
Villeneuve,Berger,1
Coulthard,Verstappen,1
Coulthard,Herbert,1
Coulthard,Barrichello,1
