Overtaker,Overtakee,Weight
M.Schumacher,Montoya,4
Raikkonen,Villeneuve,1
Raikkonen,Yoong,1
Villeneuve,Yoong,4
Sato,De La Rosa,3
Raikkonen,Webber,1
Raikkonen,De La Rosa,1
Villeneuve,Webber,2
Raikkonen,Sato,1
Montoya,M.Schumacher,1
Raikkonen,Irvine,1
Coulthard,Irvine,1
Salo,Yoong,2
Salo,Fisichella,1
McNish,Massa,1
Panis,De La Rosa,1
Montoya,Trulli,1
Montoya,Salo,2
Salo,Trulli,1
McNish,Bernoldi,1
Montoya,Button,2
McNish,Trulli,2
M.Schumacher,Webber,1
M.Schumacher,Yoong,1
M.Schumacher,Irvine,2
M.Schumacher,Villeneuve,2
Heidfeld,Coulthard,1
M.Schumacher,Massa,1
Montoya,McNish,1
M.Schumacher,Bernoldi,2
Bernoldi,M.Schumacher,1
Montoya,Heidfeld,3
De La Rosa,Webber,1
M.Schumacher,Heidfeld,1
M.Schumacher,Button,1
Barrichello,Coulthard,2
Barrichello,Button,1
Salo,De La Rosa,2
Barrichello,Trulli,2
Salo,Irvine,2
De La Rosa,Irvine,2
Bernoldi,Panis,3
Barrichello,R.Schumacher,1
Villeneuve,Irvine,3
Frentzen,Irvine,2
Sato,Panis,3
Panis,Sato,1
Villeneuve,De La Rosa,3
Coulthard,Button,2
Frentzen,De La Rosa,1
Sato,Irvine,3
Salo,Massa,2
Montoya,Yoong,1
Villeneuve,Massa,3
Massa,Villeneuve,1
Frentzen,Massa,1
Montoya,Webber,1
Montoya,Irvine,1
Montoya,De La Rosa,1
McNish,Yoong,1
Raikkonen,Button,2
Frentzen,Sato,2
Fisichella,Irvine,2
Bernoldi,Salo,2
Heidfeld,Salo,1
Heidfeld,Fisichella,2
Massa,Trulli,2
Trulli,Button,3
Villeneuve,Bernoldi,2
R.Schumacher,Heidfeld,1
Villeneuve,Sato,2
Villeneuve,Panis,1
Frentzen,Webber,2
Frentzen,Yoong,4
Webber,Yoong,3
Villeneuve,Trulli,3
Villeneuve,McNish,2
Villeneuve,Fisichella,3
Villeneuve,Button,3
Villeneuve,Salo,2
Villeneuve,Coulthard,1
Fisichella,Coulthard,1
Button,Yoong,1
Frentzen,Salo,1
Sato,Salo,1
Fisichella,Salo,1
Bernoldi,Massa,1
Barrichello,Webber,1
Salo,Panis,2
Barrichello,Panis,2
Webber,Panis,1
Sato,Massa,1
Bernoldi,Irvine,3
Salo,Villeneuve,1
Sato,Villeneuve,2
Massa,Panis,2
Montoya,R.Schumacher,1
Montoya,Raikkonen,4
Salo,Button,2
Sato,Yoong,3
Button,Salo,1
Massa,Salo,1
M.Schumacher,R.Schumacher,1
Panis,Salo,4
Trulli,Panis,1
Trulli,Heidfeld,1
Trulli,McNish,1
Frentzen,Bernoldi,2
Trulli,Massa,1
Villeneuve,Frentzen,1
Bernoldi,Frentzen,1
McNish,Irvine,1
Frentzen,McNish,1
Bernoldi,De La Rosa,1
Barrichello,Irvine,1
Raikkonen,R.Schumacher,2
Barrichello,Bernoldi,1
Barrichello,Heidfeld,1
Frentzen,Fisichella,1
Webber,Fisichella,1
Barrichello,Salo,1
Barrichello,Villeneuve,1
Bernoldi,Heidfeld,1
Panis,Heidfeld,1
Frentzen,Heidfeld,1
Massa,De La Rosa,1
Montoya,Coulthard,1
M.Schumacher,Coulthard,1
Trulli,Coulthard,1
Panis,Irvine,3
R.Schumacher,Button,1
Bernoldi,Coulthard,1
Massa,Irvine,1
Frentzen,Button,1
Fisichella,Heidfeld,1
Barrichello,Montoya,3
Raikkonen,Trulli,1
R.Schumacher,Trulli,1
Heidfeld,Panis,1
Massa,Bernoldi,1
Coulthard,De La Rosa,1
Sato,Trulli,1
Button,De La Rosa,1
Montoya,Barrichello,1
De La Rosa,Yoong,2
Irvine,McNish,2
Webber,Salo,1
Massa,Button,1
Heidfeld,Button,1
Bernoldi,McNish,1
Sato,Button,2
Bernoldi,Button,1
McNish,Button,1
Webber,Button,1
Irvine,Button,2
Coulthard,Trulli,1
Panis,Fisichella,1
Massa,Fisichella,2
Panis,Trulli,1
Salo,Webber,1
Heidfeld,Massa,1
Coulthard,Heidfeld,1
Raikkonen,Montoya,1
Montoya,Davidson,1
Massa,Heidfeld,1
Massa,McNish,1
Heidfeld,Villeneuve,1
Button,Massa,1
Yoong,Webber,1
Trulli,Villeneuve,1
Button,Villeneuve,1
De La Rosa,Massa,1
Coulthard,Sato,1
Coulthard,Yoong,1
Coulthard,Villeneuve,1
Coulthard,Fisichella,1
Salo,McNish,1
Button,Frentzen,1
Sato,Frentzen,1
Webber,Irvine,1
Villeneuve,Raikkonen,1
Panis,McNish,1
Irvine,Webber,1
Webber,Sato,1
Sato,Webber,1
Irvine,Salo,1
