Overtaker,Overtakee,Weight
Sutil,Bourdais,2
Glock,Piquet,1
Sutil,Piquet,3
Bourdais,Piquet,1
Nakajima,Piquet,1
Massa,Piquet,1
Glock,Sato,1
Massa,Nakajima,2
Raikkonen,Barrichello,1
Massa,Sato,1
Alonso,Rosberg,2
Alonso,Kovalainen,2
Kovalainen,Raikkonen,2
Alonso,Raikkonen,1
Kovalainen,Alonso,5
Nakajima,Barrichello,2
Heidfeld,Alonso,3
Alonso,Coulthard,1
Heidfeld,Coulthard,1
Nakajima,Vettel,1
Rosberg,Sato,1
Heidfeld,Trulli,2
Webber,Alonso,1
Coulthard,Sato,2
Davidson,Nakajima,1
Raikkonen,Kubica,2
Heidfeld,Kovalainen,2
Piquet,Sato,1
Piquet,Davidson,1
Nakajima,Davidson,1
Nakajima,Sato,1
Piquet,Bourdais,1
Hamilton,Davidson,1
Hamilton,Sato,1
Hamilton,Fisichella,3
Hamilton,Nakajima,1
Sato,Davidson,1
Heidfeld,Fisichella,1
Raikkonen,Alonso,4
Kovalainen,Sutil,1
Kovalainen,Vettel,2
Hamilton,Massa,3
Kovalainen,Piquet,3
Kovalainen,Glock,4
Glock,Kovalainen,1
Piquet,Button,3
Kovalainen,Button,2
Kovalainen,Coulthard,1
Kovalainen,Rosberg,4
Rosberg,Kovalainen,3
Webber,Nakajima,2
Vettel,Piquet,3
Bourdais,Sutil,2
Piquet,Vettel,1
Piquet,Sutil,1
Kovalainen,Fisichella,2
Alonso,Webber,1
Rosberg,Fisichella,2
Glock,Fisichella,2
Button,Fisichella,1
Sutil,Nakajima,1
Sutil,Barrichello,1
Trulli,Piquet,1
Trulli,Barrichello,2
Trulli,Nakajima,2
Barrichello,Nakajima,2
Rosberg,Alonso,2
Rosberg,Button,3
Rosberg,Piquet,1
Button,Piquet,2
Barrichello,Webber,2
Nakajima,Webber,2
Vettel,Webber,1
Raikkonen,Sutil,2
Alonso,Button,1
Heidfeld,Barrichello,3
Vettel,Bourdais,2
Piquet,Glock,2
Piquet,Trulli,1
Rosberg,Bourdais,1
Massa,Bourdais,3
Kubica,Heidfeld,2
Coulthard,Nakajima,2
Massa,Webber,4
Massa,Button,2
Alonso,Heidfeld,2
Glock,Webber,2
Massa,Barrichello,2
Kovalainen,Barrichello,1
Massa,Kovalainen,1
Webber,Button,3
Massa,Trulli,1
Barrichello,Sutil,1
Hamilton,Kovalainen,3
Hamilton,Alonso,3
Hamilton,Rosberg,2
Massa,Raikkonen,1
Kovalainen,Webber,3
Hamilton,Vettel,1
Hamilton,Glock,3
Piquet,Alonso,2
Alonso,Piquet,1
Button,Sutil,2
Webber,Massa,1
Webber,Rosberg,1
Webber,Fisichella,2
Webber,Sutil,1
Webber,Bourdais,2
Button,Barrichello,5
Nakajima,Bourdais,1
Webber,Barrichello,3
Massa,Rosberg,4
Massa,Fisichella,2
Kubica,Trulli,1
Heidfeld,Glock,3
Glock,Alonso,3
Barrichello,Bourdais,2
Rosberg,Nakajima,2
Heidfeld,Raikkonen,1
Rosberg,Massa,3
Nakajima,Massa,1
Kubica,Piquet,2
Kubica,Raikkonen,1
Piquet,Raikkonen,1
Kubica,Kovalainen,1
Barrichello,Glock,1
Rosberg,Webber,1
Barrichello,Kovalainen,1
Barrichello,Alonso,1
Barrichello,Trulli,2
Barrichello,Heidfeld,1
Coulthard,Rosberg,1
Sutil,Fisichella,2
Coulthard,Button,1
Trulli,Hamilton,2
Vettel,Glock,3
Barrichello,Button,2
Raikkonen,Rosberg,1
Kovalainen,Kubica,2
Raikkonen,Vettel,1
Raikkonen,Trulli,4
Hamilton,Piquet,1
Vettel,Trulli,1
Coulthard,Fisichella,3
Fisichella,Nakajima,1
Coulthard,Barrichello,3
Coulthard,Piquet,1
