Overtaker,Overtakee,Weight
Hamilton,Bourdais,1
Trulli,Alonso,1
Hamilton,Fisichella,2
Hamilton,Buemi,1
Trulli,Bourdais,1
Alonso,Bourdais,1
Hamilton,Piquet,2
Glock,Bourdais,2
Rosberg,Raikkonen,1
Barrichello,Raikkonen,1
Raikkonen,Rosberg,1
Trulli,Rosberg,2
Barrichello,Rosberg,4
Barrichello,Buemi,1
Buemi,Rosberg,1
Hamilton,Glock,1
Alonso,Glock,2
Sutil,Bourdais,2
Sutil,Heidfeld,2
Sutil,Fisichella,4
Fisichella,Sutil,2
Heidfeld,Bourdais,1
Hamilton,Kubica,2
Buemi,Glock,1
Glock,Buemi,1
Glock,Alonso,1
Hamilton,Rosberg,2
Glock,Rosberg,1
Alonso,Rosberg,2
Barrichello,Alonso,1
Vettel,Hamilton,1
Hamilton,Heidfeld,2
Raikkonen,Alonso,1
Webber,Alonso,3
Alonso,Webber,2
Glock,Raikkonen,3
Vettel,Raikkonen,1
Buemi,Fisichella,2
Buemi,Raikkonen,2
Piquet,Massa,1
Webber,Hamilton,4
Hamilton,Webber,3
Glock,Piquet,2
Webber,Heidfeld,2
Glock,Massa,1
Glock,Heidfeld,4
Glock,Hamilton,1
Alonso,Nakajima,2
Barrichello,Trulli,4
Massa,Hamilton,1
Webber,Barrichello,1
Glock,Webber,2
Glock,Barrichello,1
Webber,Trulli,1
Glock,Trulli,5
Vettel,Piquet,1
Button,Glock,1
Trulli,Barrichello,2
Hamilton,Raikkonen,4
Bourdais,Nakajima,1
Glock,Kubica,1
Massa,Kovalainen,1
Button,Barrichello,1
Hamilton,Trulli,3
Bourdais,Heidfeld,2
Glock,Nakajima,1
Glock,Fisichella,1
Massa,Raikkonen,1
Fisichella,Piquet,1
Sutil,Kubica,3
Buemi,Trulli,2
Hamilton,Kovalainen,2
Sutil,Piquet,2
Kubica,Piquet,1
Alonso,Piquet,2
Massa,Trulli,1
Raikkonen,Trulli,1
Kovalainen,Trulli,1
Bourdais,Trulli,1
Kubica,Fisichella,3
Kubica,Sutil,3
Alonso,Sutil,1
Alonso,Fisichella,1
Piquet,Sutil,1
Kovalainen,Barrichello,2
Kubica,Heidfeld,2
Kubica,Rosberg,3
Sutil,Rosberg,2
Heidfeld,Rosberg,1
Bourdais,Sutil,1
Button,Webber,1
Alonso,Buemi,1
Webber,Button,1
Vettel,Button,1
Alonso,Raikkonen,1
Kovalainen,Sutil,3
Kovalainen,Hamilton,1
Bourdais,Raikkonen,1
Sutil,Hamilton,2
Buemi,Heidfeld,1
Alonso,Heidfeld,1
Raikkonen,Bourdais,1
Raikkonen,Heidfeld,1
Button,Hamilton,1
Rosberg,Massa,2
Fisichella,Heidfeld,4
Webber,Fisichella,2
Heidfeld,Fisichella,2
Sutil,Kovalainen,1
Nakajima,Sutil,1
Kovalainen,Kubica,2
Kubica,Nakajima,1
Nakajima,Kubica,1
Kovalainen,Nakajima,1
Buemi,Bourdais,1
Kovalainen,Heidfeld,1
Rosberg,Glock,1
Alonso,Trulli,2
Barrichello,Piquet,2
Barrichello,Glock,1
Piquet,Fisichella,1
Kovalainen,Webber,1
Webber,Kovalainen,1
Kovalainen,Fisichella,3
Bourdais,Fisichella,1
Raikkonen,Glock,1
Rosberg,Vettel,1
Massa,Vettel,1
Kovalainen,Vettel,1
Heidfeld,Sutil,1
Barrichello,Kovalainen,1
Hamilton,Barrichello,2
Barrichello,Hamilton,1
Barrichello,Bourdais,1
Piquet,Hamilton,1
Buemi,Hamilton,1
Button,Massa,2
Fisichella,Alonso,2
Fisichella,Kubica,1
Kubica,Hamilton,1
Hamilton,Alonso,1
Alonso,Hamilton,1
Nakajima,Bourdais,1
Fisichella,Buemi,1
Nakajima,Glock,1
Button,Buemi,2
Button,Heidfeld,1
Fisichella,Glock,1
Button,Raikkonen,1
Heidfeld,Buemi,2
Heidfeld,Kubica,1
Trulli,Buemi,1
Fisichella,Nakajima,1
Button,Nakajima,2
Webber,Rosberg,1
Fisichella,Button,1
Piquet,Kubica,1
Grosjean,Badoer,1
Raikkonen,Fisichella,2
Vettel,Rosberg,1
Barrichello,Badoer,1
Sutil,Trulli,1
Barrichello,Nakajima,1
Sutil,Badoer,1
Sutil,Nakajima,1
Heidfeld,Webber,1
Barrichello,Webber,1
Alonso,Vettel,1
Kubica,Vettel,1
Rosberg,Trulli,1
Nakajima,Trulli,1
Alonso,Kovalainen,1
Trulli,Glock,1
Liuzzi,Trulli,1
Raikkonen,Buemi,1
Rosberg,Alguersuari,1
Rosberg,Sutil,1
Alguersuari,Nakajima,1
Alonso,Liuzzi,1
Button,Kubica,1
Buemi,Grosjean,1
Liuzzi,Alonso,1
Fisichella,Grosjean,2
Liuzzi,Nakajima,2
Kobayashi,Nakajima,2
Button,Grosjean,1
Vettel,Grosjean,1
Vettel,Alguersuari,1
Heidfeld,Alguersuari,1
Heidfeld,Grosjean,1
Hamilton,Grosjean,1
Hamilton,Alguersuari,1
Kovalainen,Raikkonen,1
Kovalainen,Alguersuari,1
Kovalainen,Grosjean,1
Raikkonen,Alguersuari,1
Button,Kobayashi,2
Kobayashi,Button,2
Vettel,Barrichello,1
Nakajima,Kobayashi,1
Fisichella,Liuzzi,1
Alguersuari,Liuzzi,1
Kovalainen,Button,1
Fisichella,Fisichella,1
Alonso,Grosjean,1
Sutil,Grosjean,2
Alonso,Kobayashi,1
Sutil,Liuzzi,1
