Overtaker,Overtakee,Weight
Hamilton,Massa,5
Ricciardo,Hulkenberg,6
Bottas,Nasr,4
Bottas,Ericsson,3
Ricciardo,Massa,6
Bottas,Wehrlein,8
Grosjean,Nasr,7
Sainz,Haryanto,5
Sainz,Gutierrez,4
Gutierrez,Haryanto,3
Bottas,Palmer,5
Sainz,Grosjean,2
Massa,Grosjean,4
Ricciardo,Button,6
Ricciardo,Bottas,6
Verstappen,Bottas,4
Sainz,Bottas,2
Verstappen,Button,6
Sainz,Button,5
Massa,Bottas,2
Vettel,Hamilton,1
Ricciardo,Perez,5
Button,Nasr,7
Button,Ericsson,4
Button,Perez,1
Magnussen,Wehrlein,8
Magnussen,Nasr,4
Wehrlein,Nasr,6
Perez,Button,3
Sainz,Perez,2
Verstappen,Perez,8
Hamilton,Ricciardo,5
Sainz,Palmer,7
Verstappen,Palmer,6
Magnussen,Perez,2
Kvyat,Wehrlein,8
Nasr,Ericsson,4
Nasr,Haryanto,3
Magnussen,Haryanto,5
Hamilton,Grosjean,2
Raikkonen,Ricciardo,4
Raikkonen,Bottas,3
Hamilton,Bottas,6
Ricciardo,Magnussen,3
Ricciardo,Haryanto,2
Perez,Hulkenberg,1
Massa,Nasr,7
Massa,Ericsson,6
Ricciardo,Nasr,6
Ricciardo,Ericsson,7
Verstappen,Hulkenberg,7
Vandoorne,Hulkenberg,1
Grosjean,Haryanto,6
Verstappen,Haryanto,3
Vandoorne,Perez,2
Raikkonen,Massa,4
Raikkonen,Kvyat,2
Bottas,Hulkenberg,3
Ricciardo,Kvyat,4
Hamilton,Kvyat,3
Nasr,Hulkenberg,1
Wehrlein,Hulkenberg,2
Ericsson,Hulkenberg,2
Massa,Kvyat,2
Grosjean,Kvyat,7
Ericsson,Wehrlein,5
Magnussen,Hulkenberg,3
Grosjean,Massa,3
Kvyat,Magnussen,4
Ericsson,Nasr,6
Verstappen,Massa,4
Kvyat,Nasr,3
Kvyat,Ericsson,4
Perez,Haryanto,6
Grosjean,Ricciardo,2
Kvyat,Bottas,2
Vandoorne,Haryanto,1
Perez,Wehrlein,4
Verstappen,Ericsson,7
Vandoorne,Wehrlein,1
Grosjean,Bottas,1
Vandoorne,Nasr,2
Hulkenberg,Haryanto,4
Verstappen,Kvyat,5
Massa,Vandoorne,1
Hulkenberg,Perez,2
Ericsson,Perez,1
Wehrlein,Perez,2
Bottas,Perez,2
Nasr,Perez,2
Kvyat,Vandoorne,1
Grosjean,Vandoorne,1
Vandoorne,Ericsson,1
Hulkenberg,Nasr,8
Magnussen,Ericsson,4
Kvyat,Massa,2
Vettel,Massa,4
Button,Massa,1
Bottas,Massa,5
Vettel,Hulkenberg,3
Vettel,Sainz,5
Gutierrez,Palmer,6
Kvyat,Alonso,2
Kvyat,Gutierrez,7
Perez,Palmer,5
Bottas,Haryanto,2
Button,Haryanto,3
Vettel,Haryanto,1
Vettel,Ericsson,2
Verstappen,Magnussen,6
Vettel,Palmer,3
Vettel,Button,3
Button,Palmer,6
Hamilton,Ericsson,2
Hamilton,Magnussen,1
Raikkonen,Ericsson,3
Hamilton,Raikkonen,2
Raikkonen,Magnussen,1
Perez,Gutierrez,7
Vettel,Bottas,3
Ricciardo,Palmer,3
Hulkenberg,Palmer,4
Hamilton,Palmer,1
Hamilton,Haryanto,1
Raikkonen,Palmer,3
Raikkonen,Haryanto,2
Vettel,Wehrlein,3
Vettel,Gutierrez,3
Bottas,Gutierrez,5
Button,Gutierrez,8
Hamilton,Hulkenberg,5
Vettel,Perez,2
Button,Wehrlein,5
Ricciardo,Gutierrez,2
Hamilton,Gutierrez,2
Hulkenberg,Gutierrez,4
Ericsson,Palmer,7
Ericsson,Haryanto,5
Vettel,Alonso,4
Sainz,Wehrlein,3
Ricciardo,Wehrlein,3
Hamilton,Wehrlein,1
Magnussen,Palmer,6
Haryanto,Palmer,2
Grosjean,Palmer,8
Hulkenberg,Wehrlein,2
Verstappen,Wehrlein,7
Verstappen,Gutierrez,8
Perez,Alonso,7
Bottas,Alonso,3
Hamilton,Button,2
Raikkonen,Nasr,2
Alonso,Haryanto,3
Perez,Magnussen,3
Alonso,Grosjean,8
Kvyat,Button,1
Kvyat,Verstappen,1
Vettel,Verstappen,5
Perez,Ericsson,4
Sainz,Raikkonen,1
Raikkonen,Grosjean,4
Ricciardo,Grosjean,6
Sainz,Alonso,3
Ricciardo,Alonso,3
Ricciardo,Raikkonen,1
Gutierrez,Wehrlein,4
Raikkonen,Alonso,4
Ricciardo,Sainz,4
Hamilton,Alonso,3
Massa,Perez,1
Sainz,Ericsson,8
Massa,Button,3
Bottas,Button,2
Alonso,Ericsson,7
Raikkonen,Button,4
Verstappen,Alonso,5
Hulkenberg,Grosjean,3
Ericsson,Grosjean,1
Massa,Alonso,2
Alonso,Magnussen,6
Hamilton,Perez,1
Hulkenberg,Magnussen,4
Vettel,Kvyat,5
Vettel,Raikkonen,2
Gutierrez,Ericsson,9
Raikkonen,Sainz,2
Massa,Verstappen,1
Raikkonen,Perez,6
Ricciardo,Hamilton,1
Gutierrez,Grosjean,4
Raikkonen,Hamilton,2
Verstappen,Sainz,3
Hulkenberg,Ericsson,5
Bottas,Raikkonen,1
Ericsson,Kvyat,3
Perez,Ricciardo,2
Perez,Kvyat,7
Perez,Nasr,2
Magnussen,Ricciardo,1
Perez,Sainz,5
Button,Sainz,4
Massa,Wehrlein,6
Palmer,Gutierrez,2
Massa,Haryanto,4
Verstappen,Grosjean,6
Raikkonen,Gutierrez,4
Kvyat,Haryanto,2
Grosjean,Hulkenberg,1
Palmer,Haryanto,2
Wehrlein,Haryanto,3
Gutierrez,Kvyat,4
Gutierrez,Magnussen,9
Massa,Palmer,2
Gutierrez,Nasr,3
Grosjean,Wehrlein,6
Palmer,Magnussen,1
Ericsson,Magnussen,3
Massa,Gutierrez,7
Gutierrez,Raikkonen,1
Verstappen,Nasr,5
Hulkenberg,Rosberg,1
Hulkenberg,Alonso,4
Rosberg,Alonso,2
Haryanto,Magnussen,1
Grosjean,Gutierrez,4
Rosberg,Hulkenberg,3
Palmer,Ericsson,3
Haryanto,Ericsson,2
Sainz,Magnussen,4
Vettel,Ricciardo,4
Rosberg,Perez,2
Bottas,Ricciardo,1
Perez,Grosjean,5
Rosberg,Ricciardo,2
Rosberg,Raikkonen,2
Alonso,Kvyat,4
Bottas,Kvyat,3
Bottas,Verstappen,3
Hamilton,Verstappen,2
Ericsson,Gutierrez,1
Raikkonen,Wehrlein,1
Raikkonen,Hulkenberg,4
Alonso,Wehrlein,5
Nasr,Wehrlein,5
Perez,Massa,3
Hulkenberg,Button,4
Hulkenberg,Sainz,3
Alonso,Gutierrez,5
Alonso,Palmer,5
Nasr,Gutierrez,2
Nasr,Palmer,1
Button,Alonso,2
Nasr,Alonso,1
Grosjean,Alonso,1
Button,Magnussen,4
Nasr,Magnussen,2
Grosjean,Magnussen,3
Perez,Raikkonen,1
Verstappen,Ricciardo,2
Rosberg,Button,2
Rosberg,Haryanto,1
Alonso,Sainz,6
Gutierrez,Massa,1
Nasr,Massa,1
Rosberg,Ericsson,3
Rosberg,Nasr,3
Rosberg,Gutierrez,1
Rosberg,Grosjean,1
Alonso,Hulkenberg,1
Button,Grosjean,1
Massa,Magnussen,2
Sainz,Hulkenberg,1
Palmer,Nasr,3
Rosberg,Verstappen,3
Wehrlein,Alonso,1
Gutierrez,Alonso,2
Sainz,Massa,3
Verstappen,Rosberg,2
Nasr,Bottas,2
Alonso,Bottas,2
Magnussen,Gutierrez,2
Ericsson,Massa,1
Alonso,Massa,2
Magnussen,Massa,2
Kvyat,Palmer,1
Wehrlein,Palmer,2
Bottas,Grosjean,4
Alonso,Perez,1
Grosjean,Sainz,3
Wehrlein,Ericsson,2
Hulkenberg,Bottas,2
Button,Bottas,1
Hamilton,Ocon,1
Kvyat,Perez,2
Raikkonen,Ocon,1
Nasr,Ocon,4
Vettel,Grosjean,1
Verstappen,Ocon,4
Kvyat,Ocon,5
Gutierrez,Ocon,4
Perez,Verstappen,1
Verstappen,Vettel,2
Massa,Vettel,1
Button,Ocon,4
Button,Kvyat,2
Bottas,Sainz,2
Massa,Sainz,3
Wehrlein,Ocon,3
Sainz,Ocon,3
Ericsson,Ocon,4
Magnussen,Ocon,3
Vettel,Ocon,2
Vettel,Nasr,3
Vettel,Magnussen,2
Gutierrez,Sainz,1
Verstappen,Raikkonen,4
Alonso,Ocon,5
Rosberg,Palmer,2
Rosberg,Wehrlein,1
Rosberg,Ocon,1
Rosberg,Sainz,2
Alonso,Nasr,3
Rosberg,Bottas,1
Sainz,Nasr,2
Grosjean,Ocon,2
Hulkenberg,Massa,1
Grosjean,Ericsson,4
Perez,Bottas,1
Palmer,Button,1
Button,Raikkonen,1
Sainz,Kvyat,1
Palmer,Ocon,1
Magnussen,Kvyat,1
Ricciardo,Ocon,3
Kvyat,Grosjean,1
Alonso,Pérez,1
Nasr,Button,1
Ocon,Wehrlein,2
Hulkenberg,Ocon,1
Alonso,Button,1
Verstappen,Pérez,1
Bottas,Ocon,1
Palmer,Sainz,1
Massa,Ocon,1
