Overtaker,Overtakee,Weight
Stroll,Ericsson,5
Perez,Sainz,3
Giovinazzi,Vandoorne,1
Ocon,Kvyat,2
Ocon,Alonso,4
Alonso,Kvyat,2
Ocon,Massa,4
Verstappen,Raikkonen,1
Sainz,Alonso,4
Perez,Kvyat,4
Perez,Massa,1
Magnussen,Kvyat,3
Magnussen,Massa,3
Bottas,Massa,2
Grosjean,Ericsson,7
Vandoorne,Palmer,2
Hulkenberg,Palmer,1
Bottas,Kvyat,1
Hulkenberg,Vandoorne,2
Verstappen,Ricciardo,1
Hulkenberg,Massa,1
Bottas,Magnussen,2
Vettel,Raikkonen,3
Vettel,Ricciardo,2
Perez,Ocon,2
Bottas,Alonso,2
Grosjean,Palmer,3
Verstappen,Bottas,2
Palmer,Ericsson,4
Grosjean,Hulkenberg,1
Magnussen,Ocon,2
Raikkonen,Sainz,1
Bottas,Sainz,2
Magnussen,Perez,1
Grosjean,Massa,3
Perez,Palmer,3
Raikkonen,Massa,3
Vettel,Sainz,1
Vettel,Perez,4
Stroll,Wehrlein,4
Grosjean,Ocon,1
Hamilton,Ricciardo,1
Massa,Ricciardo,1
Raikkonen,Ricciardo,1
Perez,Hulkenberg,1
Perez,Ericsson,3
Ocon,Ericsson,5
Palmer,Alonso,2
Alonso,Palmer,4
Alonso,Ericsson,5
Kvyat,Ericsson,3
Wehrlein,Ericsson,7
Kvyat,Alonso,2
Ricciardo,Massa,3
Kvyat,Palmer,3
Bottas,Perez,1
Grosjean,Wehrlein,6
Grosjean,Alonso,2
Bottas,Ricciardo,1
Grosjean,Kvyat,2
Hulkenberg,Wehrlein,5
Ocon,Wehrlein,4
Ericsson,Palmer,1
Sainz,Kvyat,1
Perez,Wehrlein,1
Vettel,Bottas,2
Ericsson,Stroll,3
Hamilton,Bottas,1
Ericsson,Alonso,1
Kvyat,Grosjean,1
Hamilton,Vettel,2
Alonso,Massa,2
Alonso,Stroll,1
Kvyat,Magnussen,3
Palmer,Stroll,1
Perez,Stroll,1
Perez,Vandoorne,4
Ocon,Stroll,1
Perez,Raikkonen,1
Alonso,Vandoorne,3
Stroll,Palmer,3
Wehrlein,Grosjean,2
Vettel,Wehrlein,1
Magnussen,Vandoorne,2
Stroll,Vandoorne,4
Vettel,Grosjean,2
Vettel,Kvyat,1
Vettel,Vandoorne,2
Palmer,Wehrlein,4
Vettel,Hulkenberg,3
Ricciardo,Alonso,4
Vettel,Stroll,3
Perez,Alonso,3
Raikkonen,Alonso,1
Vettel,Magnussen,4
Ericsson,Wehrlein,5
Hulkenberg,Stroll,2
Vettel,Alonso,4
Hulkenberg,Magnussen,2
Stroll,Grosjean,4
Hulkenberg,Alonso,2
Stroll,Alonso,2
Magnussen,Ericsson,5
Vettel,Ocon,4
Sainz,Palmer,4
Vandoorne,Wehrlein,3
Alonso,Wehrlein,2
Sainz,Wehrlein,3
Ricciardo,Wehrlein,3
Ricciardo,Ericsson,4
Ricciardo,Sainz,4
Sainz,Ericsson,3
Massa,Raikkonen,1
Ocon,Raikkonen,1
Ricciardo,Magnussen,5
Massa,Perez,1
Ricciardo,Hulkenberg,4
Grosjean,Vandoorne,2
Ericsson,Vandoorne,2
Ocon,Bottas,1
Ricciardo,Stroll,5
Ocon,Vandoorne,4
Vandoorne,Ericsson,5
Bottas,Ericsson,1
Magnussen,Hulkenberg,1
Ocon,Grosjean,1
Bottas,Vandoorne,1
Bottas,Grosjean,1
Ocon,Sainz,2
Hamilton,Sainz,3
Hamilton,Alonso,3
Ocon,Magnussen,2
Bottas,Ocon,4
Hamilton,Magnussen,1
Hamilton,Ocon,1
Bottas,Stroll,2
Magnussen,Palmer,1
Raikkonen,Grosjean,2
Massa,Sainz,1
Stroll,Sainz,1
Hamilton,Perez,2
Magnussen,Sainz,1
Palmer,Sainz,1
Vandoorne,Sainz,2
Hamilton,Grosjean,2
Hulkenberg,Sainz,2
Bottas,Raikkonen,1
