Overtaker,Overtakee,Weight
Raikkonen,Hamilton,6
Gutierrez,Maldonado,6
Bianchi,Maldonado,1
Van Der Garde,Chilton,5
Pic,Ricciardo,1
Vergne,Bottas,9
Gutierrez,Bottas,6
Maldonado,Bianchi,4
Perez,Grosjean,3
Maldonado,Bottas,5
Ricciardo,Van Der Garde,3
Ricciardo,Chilton,2
Ricciardo,Pic,1
Button,Pic,3
Webber,Pic,3
Grosjean,Pic,2
Vettel,Maldonado,1
Ricciardo,Bianchi,2
Massa,Maldonado,8
Raikkonen,Maldonado,2
Vettel,Perez,4
Massa,Perez,8
Alonso,Perez,4
Raikkonen,Perez,9
Vergne,Gutierrez,3
Pic,Van Der Garde,7
Perez,Gutierrez,5
Webber,Maldonado,4
Webber,Ricciardo,5
Ricciardo,Maldonado,6
Webber,Bottas,6
Alonso,Sutil,4
Webber,Perez,6
Webber,Gutierrez,5
Button,Maldonado,7
Grosjean,Maldonado,3
Vettel,Sutil,2
Ricciardo,Bottas,6
Button,Bottas,4
Grosjean,Bottas,1
Ricciardo,Gutierrez,2
Button,Gutierrez,5
Perez,Bianchi,1
Grosjean,Gutierrez,4
Bottas,Gutierrez,4
Alonso,Hamilton,7
Bianchi,Pic,2
Vettel,Hamilton,3
Massa,Hamilton,4
Webber,Di Resta,3
Raikkonen,Sutil,3
Webber,Vergne,2
Chilton,Van Der Garde,4
Hamilton,Sutil,5
Webber,Sutil,3
Vergne,Grosjean,1
Grosjean,Vergne,1
Perez,Vergne,4
Rosberg,Massa,3
Vergne,Pic,4
Rosberg,Button,6
Bottas,Chilton,4
Hulkenberg,Sutil,5
Hulkenberg,Perez,3
Grosjean,Ricciardo,4
Vergne,Maldonado,3
Perez,Vettel,1
Sutil,Vettel,1
Grosjean,Vettel,1
Vettel,Grosjean,4
Sutil,Bianchi,4
Raikkonen,Ricciardo,5
Sutil,Van Der Garde,4
Di Resta,Van Der Garde,2
Di Resta,Bianchi,4
Di Resta,Bottas,4
Bottas,Van Der Garde,9
Bottas,Bianchi,4
Grosjean,Perez,6
Di Resta,Sutil,3
Vergne,Chilton,9
Di Resta,Ricciardo,1
Bianchi,Van Der Garde,5
Sutil,Hulkenberg,2
Massa,Hulkenberg,5
Grosjean,Hulkenberg,2
Maldonado,Van Der Garde,4
Vergne,Bianchi,5
Pic,Chilton,11
Webber,Button,6
Hamilton,Button,9
Raikkonen,Hulkenberg,5
Rosberg,Hamilton,3
Hamilton,Rosberg,6
Gutierrez,Ricciardo,2
Vettel,Webber,1
Vergne,Ricciardo,2
Massa,Raikkonen,3
Bottas,Ricciardo,4
Button,Ricciardo,4
Massa,Grosjean,5
Vergne,Van Der Garde,9
Grosjean,Rosberg,3
Hulkenberg,Ricciardo,6
Vettel,Button,6
Hulkenberg,Vettel,1
Hulkenberg,Button,2
Hulkenberg,Rosberg,3
Vettel,Rosberg,4
Button,Rosberg,5
Hulkenberg,Grosjean,2
Hamilton,Van Der Garde,2
Hamilton,Chilton,2
Button,Grosjean,3
Webber,Chilton,3
Rosberg,Chilton,1
Alonso,Bottas,3
Hamilton,Bottas,3
Alonso,Vergne,5
Hamilton,Vergne,3
Raikkonen,Bottas,6
Massa,Webber,1
Maldonado,Pic,4
Massa,Bottas,8
Raikkonen,Vergne,1
Rosberg,Bottas,4
Alonso,Di Resta,3
Massa,Vergne,3
Hamilton,Perez,5
Vettel,Massa,2
Alonso,Button,8
Hamilton,Ricciardo,6
Hamilton,Di Resta,3
Raikkonen,Di Resta,5
Button,Perez,3
Ricciardo,Vergne,5
Alonso,Hulkenberg,5
Alonso,Vettel,2
Ricciardo,Perez,6
Raikkonen,Button,5
Hulkenberg,Massa,2
Hulkenberg,Di Resta,3
Vettel,Di Resta,1
Ricciardo,Grosjean,2
Vettel,Hulkenberg,2
Di Resta,Vergne,2
Ricciardo,Hulkenberg,3
Button,Massa,5
Bottas,Maldonado,2
Button,Raikkonen,1
Perez,Raikkonen,3
Grosjean,Hamilton,3
Chilton,Pic,2
Alonso,Rosberg,8
Rosberg,Alonso,1
Pic,Bianchi,5
Maldonado,Ricciardo,2
Di Resta,Rosberg,1
Alonso,Bianchi,1
Massa,Rosberg,5
Alonso,Gutierrez,4
Grosjean,Chilton,1
Rosberg,Pic,1
Alonso,Ricciardo,4
Vettel,Bottas,2
Pic,Gutierrez,1
Vettel,Raikkonen,1
Hulkenberg,Maldonado,4
Massa,Ricciardo,6
Perez,Bottas,5
Perez,Rosberg,2
Webber,Alonso,5
Rosberg,Perez,3
Webber,Hulkenberg,4
Perez,Hulkenberg,2
Button,Hulkenberg,2
Rosberg,Hulkenberg,3
Alonso,Maldonado,2
Di Resta,Grosjean,2
Sutil,Gutierrez,8
Grosjean,Button,6
Rosberg,Maldonado,3
Gutierrez,Chilton,4
Grosjean,Webber,1
