Overtaker,Overtakee,Weight
Nasr,Sainz,3
Ricciardo,Sainz,4
Ericsson,Button,3
Raikkonen,Sainz,4
Raikkonen,Ericsson,6
Nasr,Ericsson,2
Raikkonen,Verstappen,2
Ericsson,Perez,1
Sainz,Perez,3
Perez,Button,5
Ericsson,Sainz,3
Grosjean,Verstappen,2
Bottas,Nasr,2
Perez,Alonso,5
Verstappen,Kvyat,3
Button,Merhi,3
Raikkonen,Nasr,3
Hamilton,Perez,2
Ricciardo,Perez,3
Massa,Perez,2
Raikkonen,Merhi,1
Rosberg,Perez,2
Verstappen,Perez,4
Kvyat,Perez,3
Bottas,Perez,3
Nasr,Merhi,5
Rosberg,Massa,2
Hamilton,Hulkenberg,1
Hamilton,Grosjean,2
Hamilton,Sainz,1
Bottas,Kvyat,3
Raikkonen,Button,4
Bottas,Verstappen,3
Raikkonen,Alonso,3
Maldonado,Merhi,4
Rosberg,Sainz,1
Rosberg,Ricciardo,3
Rosberg,Grosjean,1
Raikkonen,Perez,4
Rosberg,Hulkenberg,1
Massa,Ricciardo,2
Bottas,Ricciardo,2
Alonso,Perez,3
Massa,Grosjean,1
Bottas,Grosjean,2
Button,Perez,3
Verstappen,Ricciardo,4
Nasr,Perez,3
Raikkonen,Maldonado,2
Sainz,Maldonado,4
Grosjean,Maldonado,3
Grosjean,Hulkenberg,3
Kvyat,Ricciardo,3
Vettel,Rosberg,1
Grosjean,Button,4
Sainz,Button,8
Grosjean,Sainz,4
Vettel,Hamilton,1
Verstappen,Hulkenberg,3
Ricciardo,Hulkenberg,3
Rosberg,Raikkonen,3
Massa,Sainz,4
Verstappen,Sainz,4
Bottas,Sainz,2
Kvyat,Hulkenberg,1
Sainz,Grosjean,2
Grosjean,Nasr,6
Bottas,Massa,1
Maldonado,Ericsson,3
Ricciardo,Alonso,5
Sainz,Stevens,7
Perez,Kvyat,2
Sainz,Merhi,4
Ricciardo,Kvyat,2
Maldonado,Nasr,4
Verstappen,Ericsson,3
Stevens,Merhi,5
Maldonado,Button,8
Perez,Sainz,2
Maldonado,Kvyat,4
Grosjean,Kvyat,4
Button,Alonso,2
Verstappen,Nasr,7
Ricciardo,Ericsson,7
Ericsson,Ricciardo,1
Ericsson,Alonso,5
Button,Maldonado,2
Massa,Kvyat,4
Massa,Maldonado,4
Massa,Verstappen,2
Maldonado,Verstappen,2
Massa,Alonso,4
Rosberg,Vettel,4
Massa,Nasr,3
Kvyat,Alonso,3
Maldonado,Stevens,2
Verstappen,Merhi,4
Verstappen,Stevens,5
Ericsson,Hulkenberg,1
Kvyat,Sainz,2
Nasr,Massa,2
Maldonado,Alonso,3
Maldonado,Sainz,3
Hulkenberg,Sainz,2
Ericsson,Verstappen,1
Hulkenberg,Alonso,1
Nasr,Alonso,6
Massa,Hulkenberg,1
Nasr,Hulkenberg,3
Hamilton,Raikkonen,3
Perez,Nasr,4
Perez,Massa,1
Kvyat,Massa,3
Raikkonen,Rosberg,1
Maldonado,Ricciardo,3
Hulkenberg,Button,2
Maldonado,Grosjean,1
Ricciardo,Grosjean,1
Hulkenberg,Stevens,2
Hulkenberg,Merhi,2
Ricciardo,Verstappen,1
Hamilton,Maldonado,1
Button,Stevens,4
Kvyat,Verstappen,2
Hamilton,Bottas,1
Sainz,Hulkenberg,3
Raikkonen,Massa,1
Sainz,Verstappen,2
Merhi,Stevens,3
Massa,Stevens,2
Massa,Merhi,1
Verstappen,Bottas,2
Ricciardo,Raikkonen,1
Vettel,Nasr,2
Vettel,Sainz,4
Vettel,Alonso,2
Perez,Ricciardo,4
