Overtaker,Overtakee,Weight
Gasly,Giovinazzi,3
Ricciardo,Kubica,5
Perez,Russell,3
Magnussen,Giovinazzi,1
Hulkenberg,Giovinazzi,6
Raikkonen,Giovinazzi,7
Norris,Giovinazzi,5
Grosjean,Giovinazzi,2
Perez,Albon,4
Perez,Giovinazzi,5
Verstappen,Vettel,4
Kvyat,Gasly,4
Leclerc,Bottas,1
Hamilton,Bottas,2
Norris,Albon,4
Kvyat,Giovinazzi,5
Russell,Kubica,11
Kubica,Russell,4
Hulkenberg,Perez,4
Leclerc,Vettel,2
Ricciardo,Magnussen,10
Raikkonen,Magnussen,14
Magnussen,Raikkonen,2
Hulkenberg,Magnussen,12
Perez,Magnussen,12
Norris,Gasly,3
Norris,Magnussen,4
Raikkonen,Kubica,12
Raikkonen,Russell,10
Gasly,Albon,6
Albon,Gasly,6
Perez,Kvyat,8
Norris,Russell,6
Verstappen,Bottas,3
Verstappen,Giovinazzi,3
Bottas,Verstappen,1
Norris,Perez,4
Leclerc,Ricciardo,4
Kvyat,Kubica,10
Hamilton,Ricciardo,3
Vettel,Ricciardo,4
Gasly,Magnussen,8
Bottas,Ricciardo,5
Verstappen,Ricciardo,3
Albon,Magnussen,11
Hulkenberg,Raikkonen,5
Gasly,Perez,1
Vettel,Hamilton,2
Norris,Raikkonen,3
Sainz,Kubica,7
Verstappen,Raikkonen,4
Ricciardo,Perez,6
Giovinazzi,Magnussen,8
Raikkonen,Kvyat,1
Albon,Kvyat,5
Albon,Raikkonen,3
Raikkonen,Albon,4
Vettel,Bottas,2
Stroll,Russell,9
Hamilton,Vettel,2
Kvyat,Magnussen,13
Hulkenberg,Ricciardo,3
Albon,Giovinazzi,10
Vettel,Norris,5
Vettel,Hulkenberg,2
Norris,Ricciardo,4
Raikkonen,Ricciardo,2
Sainz,Russell,3
Gasly,Ricciardo,5
Kvyat,Russell,11
Albon,Kubica,5
Raikkonen,Grosjean,9
Albon,Russell,8
Raikkonen,Hulkenberg,2
Grosjean,Kubica,8
Hulkenberg,Kubica,4
Magnussen,Kubica,7
Giovinazzi,Kubica,6
Grosjean,Russell,6
Magnussen,Russell,9
Verstappen,Perez,4
Giovinazzi,Russell,9
Vettel,Verstappen,1
Grosjean,Kvyat,1
Gasly,Raikkonen,5
Stroll,Giovinazzi,5
Stroll,Magnussen,12
Kvyat,Norris,3
Bottas,Leclerc,3
Vettel,Leclerc,3
Norris,Kubica,4
Sainz,Giovinazzi,2
Sainz,Kvyat,3
Stroll,Ricciardo,4
Gasly,Russell,4
Leclerc,Kvyat,3
Stroll,Kvyat,6
Leclerc,Norris,2
Leclerc,Sainz,1
Ricciardo,Kvyat,6
Gasly,Grosjean,6
Leclerc,Perez,2
