Overtaker,Overtakee,Weight
Button,Barrichello,3
Barrichello,Button,1
Klien,Webber,1
Trulli,Speed,2
R.Schumacher,Speed,4
Heidfeld,Sato,1
Heidfeld,Ide,1
Monteiro,Ide,4
Villeneuve,Coulthard,1
Raikkonen,Liuzzi,1
Klien,Fisichella,1
Raikkonen,Coulthard,1
Liuzzi,Coulthard,2
Heidfeld,R.Schumacher,1
Heidfeld,Speed,3
Heidfeld,Trulli,1
Webber,Fisichella,2
Massa,Ide,1
Button,Montoya,2
Rosberg,Ide,1
Heidfeld,Coulthard,1
Raikkonen,Villeneuve,1
Massa,Sato,2
Fisichella,Speed,2
Rosberg,Heidfeld,2
Rosberg,Speed,2
Heidfeld,Barrichello,2
Speed,Barrichello,3
Rosberg,Barrichello,2
R.Schumacher,Barrichello,1
Massa,Barrichello,2
Speed,Trulli,2
R.Schumacher,Trulli,2
Rosberg,Coulthard,3
Speed,Heidfeld,1
Massa,Liuzzi,2
Massa,Coulthard,2
Rosberg,Klien,1
Massa,Speed,3
Ide,Monteiro,1
Liuzzi,Ide,1
Schumacher,Villeneuve,2
Schumacher,Trulli,2
Albers,Sato,5
Villeneuve,Trulli,1
Massa,Trulli,3
Liuzzi,Sato,2
Sato,Liuzzi,1
Liuzzi,Albers,2
Alonso,Button,1
Webber,R.Schumacher,1
Montoya,R.Schumacher,2
Sato,Klien,1
Barrichello,Klien,1
Fisichella,Ide,1
Fisichella,Albers,1
Fisichella,Monteiro,1
Montoya,Webber,1
Albers,Ide,1
Raikkonen,Button,3
Fisichella,Barrichello,2
Fisichella,Coulthard,2
Fisichella,Sato,1
Liuzzi,Schumacher,1
Fisichella,Villeneuve,2
Montoya,Button,2
Raikkonen,Heidfeld,1
R.Schumacher,Heidfeld,1
R.Schumacher,Button,1
Montoya,Heidfeld,1
Barrichello,Speed,1
Monteiro,Sato,4
R.Schumacher,Webber,2
R.Schumacher,Sato,2
Speed,Sato,3
Rosberg,Sato,2
Rosberg,Monteiro,2
Rosberg,Albers,1
Montoya,Fisichella,1
Coulthard,Montagny,1
Villeneuve,Sato,1
Villeneuve,Montagny,1
Klien,Liuzzi,3
R.Schumacher,Monteiro,2
R.Schumacher,Albers,2
Raikkonen,Webber,1
Schumacher,Speed,2
Schumacher,Albers,2
Massa,Montagny,1
Schumacher,Button,3
Fisichella,Rosberg,1
Coulthard,Villeneuve,1
Rosberg,Villeneuve,1
Fisichella,Liuzzi,1
Coulthard,Liuzzi,3
Monteiro,Montagny,1
Montoya,Barrichello,1
Button,Trulli,1
Button,Liuzzi,1
Trulli,Liuzzi,4
Klien,Coulthard,1
Schumacher,Montoya,1
Montoya,Coulthard,1
Massa,Villeneuve,1
Massa,Button,2
Fisichella,Heidfeld,1
Coulthard,Klien,1
Speed,Klien,1
Coulthard,Button,2
Schumacher,Raikkonen,2
R.Schumacher,Villeneuve,1
Coulthard,Monteiro,1
Trulli,Coulthard,3
Trulli,Rosberg,1
Liuzzi,Rosberg,1
Villeneuve,Barrichello,1
Raikkonen,Trulli,1
De La Rosa,Heidfeld,1
Button,Fisichella,2
Coulthard,Sato,2
Coulthard,Trulli,2
Albers,Monteiro,3
Barrichello,Webber,3
Button,Raikkonen,2
Trulli,Klien,2
R.Schumacher,Coulthard,1
Speed,Albers,2
Alonso,Fisichella,3
Button,Heidfeld,1
Klien,Rosberg,1
Klien,Monteiro,1
Button,Coulthard,1
Alonso,Schumacher,1
Button,Massa,1
Kubica,Sato,2
De La Rosa,Barrichello,1
Klien,Sato,1
Button,Schumacher,1
Barrichello,Massa,1
Kubica,Trulli,3
Liuzzi,Trulli,1
Kubica,Speed,2
Fisichella,Schumacher,1
Barrichello,Heidfeld,1
Barrichello,Coulthard,2
Massa,R.Schumacher,3
Kubica,R.Schumacher,3
Kubica,Massa,2
Schumacher,Coulthard,1
R.Schumacher,Massa,1
Schumacher,Heidfeld,2
Sato,Speed,2
R.Schumacher,Kubica,2
De La Rosa,Schumacher,1
Heidfeld,Schumacher,1
Button,Webber,1
Kubica,Liuzzi,2
Barrichello,Trulli,2
Trulli,Barrichello,2
Kubica,Rosberg,2
Albers,Yamamoto,2
De La Rosa,Liuzzi,2
Barrichello,Liuzzi,2
Fisichella,R.Schumacher,1
Speed,Yamamoto,1
Kubica,Webber,1
