Overtaker,Overtakee,Weight
Salo,Alesi,1
Panis,Rosset,2
Tuero,Rosset,1
Wurz,Herbert,1
Fisichella,Frentzen,2
Barrichello,Alesi,1
Tuero,Diniz,2
M.Schumacher,Irvine,3
Herbert,Trulli,2
Hill,Trulli,2
Magnussen,Trulli,1
M.Schumacher,Fisichella,3
Frentzen,Fisichella,3
Magnussen,Tuero,2
Irvine,Panis,1
Villeneuve,Herbert,1
Villeneuve,Panis,1
Villeneuve,Irvine,1
Villeneuve,Alesi,2
Wurz,Frentzen,1
M.Schumacher,Hakkinen,2
Irvine,Frentzen,2
Villeneuve,Frentzen,1
Alesi,Frentzen,1
Magnussen,Diniz,1
Panis,Takagi,2
Panis,Trulli,3
R.Schumacher,Rosset,1
Fisichella,Hill,1
Alesi,Herbert,1
Panis,Hill,1
Wurz,Irvine,1
Coulthard,Fisichella,1
Diniz,Tuero,2
Hill,Nakano,1
Hill,Rosset,1
Hill,Tuero,1
Hill,Diniz,1
Panis,R.Schumacher,1
R.Schumacher,Nakano,1
Alesi,Tuero,1
Alesi,Nakano,1
Alesi,Magnussen,1
R.Schumacher,Magnussen,1
Frentzen,Takagi,1
Frentzen,Magnussen,1
Frentzen,Alesi,2
Frentzen,R.Schumacher,1
Frentzen,Trulli,1
M.Schumacher,Wurz,2
M.Schumacher,Takagi,1
Barrichello,Frentzen,1
Barrichello,Villeneuve,1
Herbert,Nakano,3
Herbert,Rosset,2
Barrichello,Hill,1
Panis,Nakano,1
Wurz,Nakano,2
Irvine,Nakano,1
M.Schumacher,Hill,3
Herbert,Panis,2
Herbert,Barrichello,3
Takagi,Rosset,3
Salo,Nakano,1
Coulthard,Irvine,1
Fisichella,Barrichello,1
Frentzen,Panis,1
Trulli,Tuero,2
Takagi,Salo,2
Takagi,Diniz,2
Coulthard,Alesi,3
Coulthard,Wurz,1
Coulthard,Frentzen,1
Irvine,Wurz,1
Rosset,Verstappen,1
Panis,Verstappen,2
R.Schumacher,Diniz,2
Takagi,Trulli,1
Irvine,Herbert,2
Rosset,Trulli,1
Coulthard,M.Schumacher,1
Frentzen,Villeneuve,1
R.Schumacher,Salo,1
Nakano,Tuero,3
Barrichello,Tuero,2
Irvine,Villeneuve,1
Irvine,Hill,1
Barrichello,Nakano,1
Verstappen,Trulli,1
Barrichello,Trulli,2
Nakano,Trulli,1
Diniz,Salo,1
Trulli,Rosset,1
Verstappen,Rosset,1
Barrichello,Takagi,2
Barrichello,Rosset,1
Fisichella,Wurz,2
Trulli,Takagi,1
Alesi,Fisichella,2
Wurz,Fisichella,2
Fisichella,M.Schumacher,1
Coulthard,Nakano,2
Coulthard,Herbert,1
Coulthard,Rosset,1
Irvine,Alesi,1
Coulthard,Verstappen,1
Coulthard,Villeneuve,1
Coulthard,Trulli,1
Coulthard,Hill,1
Coulthard,R.Schumacher,1
Wurz,Rosset,1
M.Schumacher,Tuero,1
M.Schumacher,Nakano,1
M.Schumacher,Herbert,1
Wurz,Verstappen,2
M.Schumacher,Villeneuve,2
M.Schumacher,Trulli,1
Villeneuve,Trulli,1
M.Schumacher,R.Schumacher,2
Barrichello,Herbert,2
Wurz,Salo,1
Wurz,Trulli,1
Panis,Tuero,1
Barrichello,Salo,1
Barrichello,Verstappen,1
Alesi,Trulli,1
Salo,Takagi,1
Takagi,Tuero,2
Herbert,Diniz,1
Coulthard,Hakkinen,1
Villeneuve,Hakkinen,1
Hill,Hakkinen,1
Frentzen,Hakkinen,1
R.Schumacher,Herbert,1
Coulthard,Tuero,1
Trulli,Nakano,1
Irvine,Diniz,1
Fisichella,Diniz,1
Fisichella,Irvine,1
R.Schumacher,Alesi,1
Salo,Tuero,1
Hill,Fisichella,1
Hill,Wurz,1
Hill,Alesi,1
Verstappen,Panis,1
Rosset,Tuero,1
Salo,Diniz,1
Salo,Verstappen,1
Hill,R.Schumacher,1
Hill,Villeneuve,1
Irvine,Hakkinen,1
R.Schumacher,Hakkinen,1
Alesi,Barrichello,1
Hakkinen,Irvine,1
M.Schumacher,Alesi,2
M.Schumacher,Panis,1
Verstappen,Takagi,1
Herbert,Tuero,1
Herbert,Takagi,1
Herbert,Verstappen,1
Nakano,Takagi,1
Hill,Frentzen,1
