Overtaker,Overtakee,Weight
Vettel,Rosberg,7
Maldonado,Grosjean,3
Alonso,Maldonado,5
Di Resta,Glock,6
Petrov,Pic,9
Vergne,Glock,7
Perez,Kobayashi,7
Kovalainen,Glock,8
Petrov,Glock,7
Maldonado,Massa,1
Kobayashi,Perez,5
Raikkonen,Perez,4
Senna,Pic,6
Kovalainen,Ricciardo,2
Kovalainen,Pic,8
Ricciardo,Pic,4
Vettel,Vergne,5
Massa,Petrov,6
Senna,Glock,5
Alonso,Vergne,3
Rosberg,Vergne,5
Webber,Vergne,3
Hamilton,Perez,3
Vettel,Perez,3
Alonso,Perez,5
Rosberg,Perez,4
Webber,Perez,3
Raikkonen,Kobayashi,2
Raikkonen,Massa,4
Kobayashi,Massa,3
Di Resta,Massa,2
Vergne,Massa,2
Kobayashi,Raikkonen,4
Ricciardo,Senna,8
Senna,Ricciardo,5
Vergne,Di Resta,5
Ricciardo,Di Resta,4
Kobayashi,Rosberg,2
Rosberg,Kobayashi,5
Di Resta,Vergne,4
Ricciardo,Vergne,6
Schumacher,Kovalainen,4
Grosjean,Glock,5
Grosjean,Pic,7
Perez,Karthikeyan,2
Perez,De La Rosa,3
Grosjean,Kovalainen,7
Grosjean,Ricciardo,2
Ricciardo,Kovalainen,7
Grosjean,Petrov,4
Petrov,Kovalainen,8
Di Resta,De La Rosa,4
Schumacher,Vergne,3
Button,Schumacher,4
Button,Vergne,2
Perez,Vergne,7
Massa,Karthikeyan,3
Rosberg,Karthikeyan,3
Hulkenberg,Di Resta,2
Kobayashi,De La Rosa,8
Kobayashi,Ricciardo,6
Massa,Vergne,4
Alonso,Webber,4
Vettel,Webber,4
Webber,Vettel,2
Di Resta,Karthikeyan,2
Hulkenberg,Karthikeyan,2
Maldonado,Hulkenberg,2
Maldonado,Karthikeyan,2
Schumacher,Karthikeyan,2
Ricciardo,Karthikeyan,4
Kovalainen,Karthikeyan,7
Pic,Karthikeyan,5
Alonso,Pic,2
Alonso,Karthikeyan,2
Hamilton,Karthikeyan,2
Raikkonen,Webber,3
Schumacher,De La Rosa,2
Senna,De La Rosa,5
Ricciardo,De La Rosa,3
Kovalainen,De La Rosa,14
Glock,De La Rosa,4
Petrov,De La Rosa,8
Button,Pic,1
Schumacher,Kobayashi,5
Ricciardo,Kobayashi,2
Senna,Kobayashi,2
Maldonado,Kovalainen,5
Maldonado,Glock,3
Raikkonen,Rosberg,3
Button,Glock,2
Webber,Rosberg,5
Senna,Schumacher,2
Senna,Hulkenberg,2
Ricciardo,Glock,6
Maldonado,Petrov,6
Kobayashi,Schumacher,3
Rosberg,Petrov,4
Button,Ricciardo,1
Button,Massa,3
Button,Petrov,1
Ricciardo,Massa,2
Webber,Kobayashi,6
Maldonado,Schumacher,2
Ricciardo,Rosberg,6
Senna,Di Resta,3
Button,Rosberg,4
